"～性具～","~ Sex toys ~"
"テスト性具","Test sex toys"
"ディルド","Dildo"
"男性器を模したもの
性具","Replica of male genitalia
Sex toy"
"太いディルド","Thick Dildo"
"立派な男性器を模したもの
性具","Well endowed replica of male genitalia
Sex toy"
"極太ディルド","Ultra Thick Dildo"
"腕を模したもの
性具","Replica of an arm
Sex toy"
"バイブ","Vibe"
"振動で快楽を与える道具
性具　命中+5","A tool that gives pleasure with vibration
Sex toy  Hit +5"
"太いバイブ","Thick Vibe"
"太めの振動で快楽を与える道具
性具　命中+5","A tool that gives pleasure with thick vibration
Sex toy  Hit +5"
"極太バイブ","Extra Thick Vibe"
"ぶっとい振動で快楽を与える道具
性具　命中+5","A tool that gives pleasure with a blunt vibration
Sex toy  Hit +5"
"火のディルド","Fire Dildo"
"燃えるように熱いディルド
性具　TP増加+20%","A hot dildo to fire you up
Sex toy  TP gain +20%"
"<mat1:A2*1>
<mat2:I78*1>
<matG:500>
","<mat1:A2*1>
<mat2:I78*1>
<matG:500>
"
"水のディルド","Water Dildo"
"ひんやりと冷たいディルド
性具　回復効果+20%","A cool, chilling dildo
Sex toy  Recovery +20%"
"<mat1:A2*1>
<mat2:I79*1>
<matG:500>","<mat1:A2*1>
<mat2:I79*1>
<matG:500>"
"風のディルド","Wind Dildo"
"風のように素早いディルド
性具　体力消費-10%","A dildo as swift as the wind
Sex toy  HP Cost -10%"
"<mat1:A2*1>
<mat2:I80*1>
<matG:500>","<mat1:A2*1>
<mat2:I80*1>
<matG:500>"
"地のディルド","Earth Dildo"
"岩のように硬いディルド
性具　防御効果+20%","A dildo as hard as stone
Sex toy  Defense +20%"
"<mat1:A2*1>
<mat2:I81*1>
<matG:500>","<mat1:A2*1>
<mat2:I81*1>
<matG:500>"
"火炎のディルド","Flame Dildo"
"燃え盛る炎を個体にしたディルド
性具　TP増加+20%","A dildo that burns brightly and proudly
Sex toy  TP increase +20%"
"<mat1:A8*1>
<mat2:I78*3>
<matG:500>","<mat1:A8*1>
<mat2:I78*3>
<matG:500>"
"氷結のディルド","Freezing Dildo"
"溶けない氷でできたディルド
性具　回復効果+50%","A dildo made of unmeltable ice
Sex toy  Recovery + 50%"
"<mat1:A9*1>
<mat2:I79*3>
<matG:500>","<mat1:A9*1>
<mat2:I79*3>
<matG:500>"
"暴風のディルド","Storm Dildo"
"荒れ狂う風をまとったディルド
性具　体力消費-20%","A dildo clad in raging winds
Sex toy  HP Cost -20%"
"<mat1:A10*1>
<mat2:I80*3>
<matG:500>","<mat1:A10*1>
<mat2:I80*3>
<matG:500>"
"大地のディルド","Stone Dildo"
"決して折れない頑強なディルド
性具　防御効果+50%","A sturdy dildo that never breaks
Sex toy  Defense +50%"
"<mat1:A11*1>
<mat2:I81*3>
<matG:500>","<mat1:A11*1>
<mat2:I81*3>
<matG:500>"
"鉄のバイブ","Iron Vibrator"
"鉄でできたバイブ
性具　命中+5","A vibrator made of iron
Sex toy  Accuracy +5"
"<mat1:I76*2>
<matG:300>","<mat1:I76*2>
<matG:300>"
"鋼鉄のバイブ","Steel Vibrator"
"鋼鉄でできたバイブ
性具　命中+5","A vibrator made of steel
Sex toy  Accuracy +5"
"<mat1:I76*4>
<matG:500>","<mat1:I76*4>
<matG:500>"
"金のバイブ","Golden Vibrator"
"金で出来た成金バイブ
性具　命中+5","A nouveau riche vibrator made of gold
Sex toy  Accuracy +5"
"<mat1:I77*3>
<matG:500>","<mat1:I77*3>
<matG:500>"
"ダイヤのバイブ","Diamond Vibrator"
"ダイヤが散りばめられた贅沢なバイブ
性具　命中+5","A luxurious vibrator studded with diamonds
Sex toy  Accuracy +5"
"<mat1:I81*2>
<mat2:I76*1>
<mat3:I77*1>
<matG:500>","<mat1:I81*2>
<mat2:I76*1>
<mat3:I77*1>
<matG:500>"
"ひのきのぼう","Cypress Pole"
"ちょうどいい形の木の棒
性具　クリティカル+3","A wooden pole that's just the right shape
Sex toy  Critical +3"
"<mat1:I202*1>
<matG:100>","<mat1:I202*1>
<matG:100>"
"きのこ","Mushroom"
"いちもつの形をした自然の贈り物
性具　クリティカル+5","A gift from nature with a naughty shape
Sex toy  Critical +5"
"にんじん","Carrot"
"硬くて食べられないにんじん
性具　クリティカル+5","Hard and inedible carrots
Sex toy  Critical +5"
"閃光","Flash"
"光の速さで振動するバイブ
性具　クリティカル+5","Vibrator that vibrates at the speed of light
Sex toy  Critical +5"
"風神","Fujin"
"巻き起こす風はやがて嵐となる
性具　クリティカル+5","The winds it creates will soon become a raging storm
Sex toy  Critical +5"
"<mat1:A10*1>
<mat2:A14*1>
<mat3:A23*1>
<matG:500>","<mat1:A10*1>
<mat2:A14*1>
<mat3:A23*1>
<matG:500>"
"ヘビーバイブ","Heavy Vibe"
"重たすぎて筋トレに使える
性具　クリティカル-5","Too heavy to use for strength training
Sex toy　Critical -5"
"<mat1:A16*1>
<mat2:A17*1>
<matG:500>","<mat1:A16*1>
<mat2:A17*1>
<matG:500>"
"鈍亀","Slow Turtle"
"ゆっくりかつ大胆に急所をねらうディルドー
性具　クリティカル+20　命中-50","A dildo that slowly and steadily strikes weak spots
Sex toy  Critical +20  Hit -50"
"<mat1:A25*1>
<mat2:I76*1>
<mat3:I77*1>
<matG:500>","<mat1:A25*1>
<mat2:I76*1>
<mat3:I77*1>
<matG:500>"
"諸刃のディルドー","Double-Edged Dildo"
"防御を捨て攻撃に特化したディルドー
性具　","A dildo that abandons defense and focuses on attack
Sex toy"
"隼","Hayabusa"
"速い翼が転じて名付けられたバイブ
性具　2回攻撃　命中-50","A vibe named after the swift bird of prey
Sex toy  Attacks twice  Hit -50"
