"リリーイベ","リリーイベ"
"シィナイベ","シィナイベ"
"ライムイベ","ライムイベ"
"アーコ","アーコ"
"サンタ","サンタ"
"イベント実行","Event Action"
"\n<アーコ>もしもーし。誰かいるー？","\n<Ako>Hellooo. Anybody home-?"
"\n<サンタ>やめなよアーコ。
ミスト屋敷だよ。噂の。
まともな人がいるわけないじゃん。","\n<Santa>Stop this, Ako.
This is Misty Mansion. I've heard rumors.
There are no decent people living here."
"\n<アーコ>何言ってんの。
あたしはまともじゃない人に会いに来たんだから。
お金持ちにまともな人なんていないの。","\n<Ako>What are you talking about?
I didn't come here to meet decent people.
Rich people are rarely ever decent people."
"\n<サンタ>捕まって食われても知らないから。","\n<Santa>Don't come to me when you get captured and eaten."
"\n<アーコ>すいませーん！もしもーし！
誰かー！！","\n<Ako>Excuuuse me! Helloooo!
Anybody home-!!"
"\n<アーコ>\{だーれーかー！！","\n<Ako>\{A- NY- BO- DY-!!"
"\n<シィナ>突然オラァ！！
うるっせーぞ！！
誰にゃ！！","\n<Shina>Surprise attack!!
Gotchaaa!!
Who are you-nya!!"
"\n<アーコ>ぐぇ・・・！！
な、なに・・・！？
淫魔ぁ・・・！？","\n<Ako>Guh...!!
Wh-what the...!?
A succubus...!?"
"\n<シィナ>にゃぁん！？
お前だって淫魔じゃねーか！
何しに来た・・・","\n<Shina>Nyaaaan!?
You're a succubus too!
Why did you come here..."
"\n<シィナ>って・・・
サンタ？","\n<Shina>Wait...
Santa?"
"\n<サンタ>えっ？ボクのこと知ってるの？","\n<Santa>Hm? Do you know me?"
"\n<シィナ>いやいや、サンタにゃん。
知ってるも何も・・・","\n<Shina>No, no, Santa.
We know each other..."
"\n<シィナ>あぁ、アタシにゃ。シィナ。
そうか。
このナリじゃ分かわらんにゃ。","\n<Shina>It's me, Shina-nya.
Oh, right, of course.
You wouldn't recognize me in this form."
"\n<サンタ>シィ・・・ナ？","\n<Santa>...Shina?"
"\n<アーコ>シィナ！？
アーコ！！あたしアーコ！！
アーコアーコアーコ！！！","\n<Ako>Shina!?
Ako!! It's me, Ako!!
Ako Ako Ako!!!"
"\n<シィナ>はぁ？
あーこぉ？
どーなってるにゃ？","\n<Shina>Huh?
Ako?
What are you doing here-nya?"
"\n<サンタ>急に見なくなったと思ったら・・・
まさか淫魔になってたなんて・・・","\n<Santa>We stopped seeing you all of a sudden, but...
I never imagined you had become a succubus..."
"\n<アーコ>無事でよかったぁ・・・！
てっきりどこかで野垂れ死んでるのかと思ってたぁ・・・","\n<Ako>I'm so glad you're safe...!
I was so sure you were dead on the side of the road somewhere..."
"\n<シィナ>勝手に殺すにゃ！","\n<Shina>As if I'd just drop dead-nya!"
"\n<サンタ>何かあったんじゃないかって、みんな心配してたんだよ。
まぁ、本当に何かあったみたいだけど。
どうしたのそれ。","\n<Santa>Everyone was so worried that something had happened.
Well, I suppose something did happen.
What happened to you?"
"\n<アーコ>あぁ～・・・♥
しぃにゃん生きてたぁ・・・
よかったぁ・・・♥ぐすん。","\n<Ako>Ahhhhh～...♥
Shinyan is alive...
I'm so glad...♥ Heh heh."
"\n<シィナ>しぃにゃんって呼ぶな！
コロスゾ！","\n<Shina>Don't you call me Shinyan!
I'll kill you!"
"\n<サンタ>あはは。
まさか、お金持ちよりまともじゃないやつが出て来るとはね。","\n<Santa>Ahaha. I didn't expect somebody even less decent
than a rich person to come out."
"\n<リリー>じゃ、そのメモに書いてるもの、よろしくね。
助かるわ。","\n<Lily>We wrote everything down in this memo. Thanks again.
I really appreciate it."
"\n<アーコ>あたしもお宝貰って帰ってるから。
win-win！
商売はどっちも得しなきゃね！","\n<Ako>I'm bringing home some treasures too.
Today is a win-win!
Everybody profits in a successful business!"
"\n<アーコ>（ただしより多くの得をするのはあたし。）","\n<Ako>(Although I profit a whole lot more.)"
"\n<リリー>あ、ちょっといい？","\n<Lily>Ah, one more thing please."
"\n<アーコ>恋愛もの？本？","\n<Ako>Romance? Like a romance novel?"
"\n<リリー>ちょっと・・・！
声・・・！おっきい！！","\n<Lily>Stop...!
So loud...! Keep it down!!"
"\n<アーコ>いいよ。
分かった。
良さそうなのあったら買ってくる。","\n<Ako>Alright, alright.
I got it.
If anything looks good, I'll pick it up."
"\n<リリー>まぁ、別に無理にとは言わないわ。
もしあったらね。
そんなに、欲しいわけじゃないし。","\n<Lily>B-but don't go out of your way.
Only if you come across it.
I don't want it that badly."
"\n<アーコ>リリーってそういうのが好きなの？","\n<Ako>Do you like that kind of thing, Lily?"
"\n<リリー>はぁ？何言ってんのよ。
勉強よ。
淫魔たるもの、常に人間の生態を把握しておかないと。","\n<Lily>Huh? What are you talking about?
It's for research. As a succubus, I constantly have
to keep informed about human tendencies."
"\n<アーコ>ふーん。","\n<Ako>Hm."
"\n<リリー>あんたも淫魔なら金金言ってないで
人間のひとりでも搾り尽くしてきなさいよね。
まったく・・・","\n<Lily>You're a succubus too. Stop obsessing over money,
and drain at least one human.
Honestly..."
"\n<アーコ>なんで怒ってんの？","\n<Ako>Why are you getting so angry?"
"\n<リリー>怒ってないわよ！
あんたマジでやり辛いわね。
いいから早く行きなさいよ。じゃあね！","\n<Lily>I'm not angry!
Why are you giving me such a hard time?
I think it's time for you to go. Take care now!"
"\n<アーコ>おっけー。
じゃあメモのやつと、恋愛系の小説ね！
ばいばーい！","\n<Ako>Okaaaay.
So everything on the memo, plus one romance novel!
Bye bye!"
"\n<リリー>\{復唱すんなっつってんのよ！！","\n<Lily>\{STOP SAYING THAT!!"
"\n<ライム>じゃあ、食材お願いしまーす！
アーコちゃん。気を付けて帰ってねー♥","\n<Lime>Then, please get me these ingredients, Ako!
Come back safe-♥"
"\n<アーコ>ねぇねぇ。
ライムはどうして人間にご飯を作るの？
料理も凄く上手だし。","\n<Ako>Hey, hey.
Why are you always making food for the humans?
You're such a great cook."
"\n<ライム>美味しい物食べて、健康でいてくれた方が
いい精子出るでしょー？
それに美味しい方が、美味しくていいよねー。私も食べるし。","\n<Lime>If I cook tasty food, then the humans will stay healthy,
and they'll give me better semen, no? The better their food
is, the better they taste. I'm feeding myself too."
"\n<アーコ>それだけ？","\n<Ako>That's all?"
"\n<ライム>・・・？
そうだけどー・・・どうして？","\n<Lime>...?
What do you mean... That's all?"
"\n<アーコ>ライムにとって、人間は養豚場の豚と同じってこと？","\n<Ako>So you're basically just fattening the humans up like pigs?"
"\n<ライム>うーん・・・豚さんも美味しいよねー！
揚げたてのトンカツなんか
じゅわーって肉汁と油が口の中に広がって・・・","\n<Lime>Mmm... Pigs are really tasty too-!
Deep fried tonkatsu... The oils and juices spreading
through your mouth..."
"\n<アーコ>いや、そういうつもりで聞いたわけじゃ・・・","\n<Ako>No, that's not what I meant..."
"\n<ライム>もうほっぺが溶けちゃいそうなぐらい♥
本当に溶けてるんだけどー♥
ソースもいいけど、まずは塩とわさびでー・・・","\n<Lime>It feels like my cheeks are about to melt♥
I'm really gonna melt-♥
Need some sauce too, oh, but first, salt and wasabi..."
"\n<アーコ>（ライムならって思ったけど・・・
やっぱり、あたしがおかしいんだろうな。
淫魔と人間が仲良くしようなんて。）","\n<Ako>(I thought I might get through to Lime, but...
Sure enough, I still sound crazy, believing
humans and succubi could get along.)"
"\n<ライム>ひょっとして、人間さんも揚げたら美味しいのかな？","\n<Lime>You don't suppose deep-fried human would taste good too?"
"\n<アーコ>怖いよ！！","\n<Ako>You're creeping me out now!!"
"\n<アーコ>あ、そうだ！
じゃあさ、レストランとか開いてみたらどうかな？
御代は精液で！","\n<Ako>Oh, I meant to say!
What if we were to open up a restaurant?
We could make humans pay with their semen!"
"\n<ライム>それいいかも！
流石アーコちゃんだね！合理的！","\n<Lime>That sounds great!
I'd expect no less from Ako! You're so clever!"
"\n<アーコ>ね！お互い美味しい物食べて、美味しい思いが出来る！
win-winじゃん！
仲良くできるんじゃないかな？","\n<Ako>Right? We'd all get good food, and we could all benefit one another!
It's a win-win!
Don't you think we could all get along?"
