"シィナ","Shina"
"アーコ","アーコ"
"サンタ","サンタ"
"イベント実行","イベント実行"
"\n<アーコ>にゃぉー？
（シィナ、またゴミ漁ってんの？）","\n<Ako>Meoow-?
(Dumpster diving again, Shina?)"
"\n<シィナ>んにゃぁ・・・
（あぁ、うっとおしいのが来た。）","\n<Shina>Nyaaaa...
(Ugh, who invited this loser.)"
"\n<アーコ>にゃん、にゃぁー。
（そんなもの食べてたらお腹壊すよ。）","\n<Ako>Nyan. Meow-.
(You know you'll get a stomachache if you eat that.)"
"\n<シィナ>んにゃーん。にゃぁぁ・・・
（うっせーな。お前が思うより健康だし。）","\n<Shina>Meoow. Nyaaa...
(Shut it. It's not as bad as you think.)"
"\n<アーコ>にゃぁーぁ。にゃ。
（人間に甘えたらすぐお腹いっぱいになれるのに。）","\n<Ako>Nyaaaaa. Nya.
(If you'd just let a human pamper you, \nyou'd have more food than you could eat.)"
"\n<シィナ>にゃ？にゃぁぁぁん？
（は？そんなことするぐらいなら毛玉食ってる方がマシだし。）","\n<Shina>Nya? Nyaaaaan.
(Huh? I'd rather eat a hairball than do that.)"
"\n<アーコ>にゃぁ、にゃ？
（毛玉は吐くもの。食べるものじゃないよ。）","\n<Ako>Nyaa, nyaa.
(Hairballs are for throwing up, not eating.)"
"\n<シィナ>んんんにゃ。
（お前には関係ねーだろ。ほっとけよ。）","\n<Shina>Nnnnnya.
(This is none of your business. Leave me alone.)"
"\n<お父さん>アーコー？ご飯だぞー！
帰ってこーい！アーコー？","\n<Father>Ako? Dinner time!
Time to come home! Ako?"
"\n<アーコ>にゃーん♥
（はーい♥）","\n<Ako>Meooow♥
(Coming♥)"
"\n<シィナ>にゃぁ・・・
（お前には猫としてのプライドとかないんか。
人間なんかに媚びへつらいやがって。）","\n<Shina>Nyaaa...
(Where's your pride as a cat?
Being seduced by a human...)"
"\n<アーコ>にゃ、にゃぁん。
（プライドでお腹は膨れないからね。
賢く生きなきゃ。）","\n<Ako>Nya, nyaaan.
(Pride doesn't keep your stomach full.
I've got to be smart.)"
"\n<アーコ>にゃん。
（はいこれ。お裾分け。）","\n<Ako>Meow.
(Here. I'm sharing the love.)"
"\n<シィナ>にゃぁぁ！！
（要るか！余計なことすんな！消えろ！）","\n<Shina>Nyaaaa!!
(Hey! I don't need your scraps! Beat it!)"
"\n<アーコ>にゃんにゃん。
（はいはい。じゃあね、しぃにゃん。）","\n<Ako>Nyan nyan.
(Fine, fine. I'll see you later, Shinyan.)"
"\n<シィナ>んにゃ・・・
（ちっ・・・）","\n<Shina>Nnyaa...
(Geez...)"
"\n<シィナ>んにゃんにゃ・・・
（美味いな。）","\n<Shina>Nnnya nya...
(This is tasty.)"
"\n<アーコ>にゃぁ。
（食べてんじゃん。）","\n<Ako>Nyaa.
(You're eating, aren't you?)"
"\n<シィナ>にゃーぁ。
（ここにたまたま落ちてたからな。）","\n<Shina>Nyaaaa.
(I just happened to be sitting here.)"
"\n<シィナ>かふ・・・かふ・・・
（アーコは毎日、こんな美味い物食ってんのか。）","\n<Shina>Munch... Munch...
(Does Ako really eat like this every day?)"
"\n<シィナ>かふ・・・かふ・・・
（・・・）","\n<Shina>Munch... Munch...
(...)"
"\n<？？？>おや？この猫は・・・
あまり見ない模様の猫だな。","\n<？？？>Oh? This cat...
What an unusual pattern it has."
"\n<？？？>かわい子ちゃーん。
おいでおいでー。ちっちっちっ。","\n<？？？>What a cutie.
Psspsspss. Come here."
"\n<シィナ>・・・
（賢く生きる・・・か。）","\n<Shina>...
(Gotta be smart... Huh.)"
"\n<シィナ>にゃーん♥
（ご飯ちょーだい♥）","\n<Shina>Nyaaan♥
(Gimme some fooood♥)"
"\n<？？？>おーよしよし。","\n<？？？>Good kitty."
"\n<？？？>よっと！！
捕まえた！！","\n<？？？>Aha!!
Gotcha!!"
"\n<シィナ>にゃ！！！
（なんだこいつ！！離しやがれ！！）","\n<Shina>Nya!!!
(What the hell!! Let go, you bastard!!)"
"\n<？？？>こらこら暴れるな！
館主様は珍しい物が好きだからな。お喜びになるぞー。
これで俺の給料も爆上げだ！","\n<？？？>Now now, don't struggle!
Master loves rare and unusual things. He'll be so happy.
I'm gonna get a huge raise!"
"\n<シィナ>にゃあ！！！にゃぁ！！！
（やめろ！！くそ！！）","\n<Shina>Nyaaa!!! Nyaaa!!!
(Stop it!! Dammit!!)"
"\n<シィナ>にゃあおおお！！
（離せぇぇぇぇ！！）","\n<Shina>Meooooooww!!
(Let me gooooooo!!)"
"かりかり","かりかり"
