"扉","Door"
" <enemy:99><cw:1.5><ch:1.5>",""
"機械仕掛けの扉だ。
例によって電気を流せば開くかもしれない。","A mechanical door.
Will it open if you turn on the power...?"
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵","Variable 203（ARGP Attack Types）
1Kill　2Strike　3Water　4Flame　5Lightning
6Seduction　7Consumable
Unique206（Individual Attack Types）
1Apple　2Platter　3Egg"
"報告書","Report"
"リリー達の行動は定期的に監視すること。
特に変わった行動があればDr.チョコレに報告。","Monitor Lily's behavior routinely.
Report any unusual behavior to Dr. Chocolat."
"淫魔は非常に危険な為、直接接触しないように。
もし干渉したい場合はオークを介して行う。","Succubi are extremely dangerous. Do not interact directly.
If you must interfere, do so using an orc."
"映像投影機が故障した場合は
エレクタワーにて代わりの物を入手するように。","If a video monitor malfunctions,
pick up a replacement from Elec Tower."
"EV003","EV003"
"・シィナ、ライムの無力化を確認。
・牢の鍵を見つけやすい場所に設置。
・アーコが拾ってしまったが問題ナシ。","・Confirmed Shina and Lime have been neutralized.
・Place the cell key in an easily visible location.
・Ako has picked up the key. No issues."
"・\n[1]、脱出する気配なし。リリーと戦闘か。
・リリー敗北。
・\n[1]、何故かリリーを助ける。","・\n[1]、No sign of escaping。Lily and combat?。
・Lily defeated。
・\n[1]、Why do you save Lily?。"
"EV004","EV004"
"・PM2:00　リリー、小説を読みながらニヤつく
・PM2:30　ライム、身体に付着したゴミを取り除く作業
・PM3:00　シィナ、鼻くそをリリーの服に付ける","・2:00PM - Lily read a novel with a smirk
・2:30PM - Lime struggles to remove trash attached to her body
・3:00PM - Shina flicks a booger onto Lily's clothing"
"・PM4:00　リリー、自室にてじたばたする
・PM5:00　ライム、食事の下ごしらえを始める
・PM6:00　シィナ、鼻くそをリリーの服に付ける","・4:00PM - Lily makes a fuss in her room.
・5:00PM - Lime begins preparing for dinner
・6:00PM - Shina flicks a booger onto Lily's clothing"
"\n<リリー>鼻くそ付け過ぎだろ！","\n<Lily>What's with all the boogers!?"
"EV005","EV005"
"・AM7:00　ライム、精奴隷に朝食を持っていく
・AM8:30　リリー、メイド服を着て鏡を見ている
・AM9:00　シィナ、爆睡中","・7:00AM - Lime brings breakfast to the semen slaves
・8:30AM - Lily looks at her reflection while wearing a maid dress
・9:00AM - Shina is sound asleep"
"・AM10:00　リリー、ライムと談笑中（内容不明）
・AM11:00　ライム、浴場の清掃
・AM12:00　シィナ、起床","・10:00AM - Lily chats with Lime (Subject unknown)
・11:00AM - Lime cleans the bathroom
・12:00PM - Shina wakes up"
"\n<リリー>私達の生活が盗み見られてたなんて・・・","\n<Lily>They were spying on every moment of our lives..."
"酷いね","How awful"
"屋敷を奪ったのはリリー","It was Lily who took away the mansion"
"\n<リリー>・・・
うん。
でも、今は気にしてる場合じゃないわ。行きましょ。","\n<Lily>...
Right.
But we don't have time to worry now. Let's keep going."
"\n<リリー>それとこれとは別よ。
絶対に許さないわ。","\n<Lily>This is different than that。
I absolutely won't forgive you。"
"EV006","EV006"
"三馬鹿の監視記録というファイルが並んでいる・・・","Observation reports on three idiots line the shelf..."
"\n<リリー>後で燃やすわ。
これを書いたやつもね。","\n<Lily>I'll be burning these later.
Along with whoever wrote them."
"EV007","EV007"
"チャーム（魅了魔法）について。
チャームは簡潔に言うと
対象を魅了し言いなりにする魔法である。","About charms (Charm magic)
Simply put, charm magic entices the subject to do the caster's bidding."
"目を見つめる、言葉を囁く等の行為を介して行われる為、
目を瞑る、耳を塞ぐ事で回避できる場合もある。
相手の魔力を上回る強い精神力で抗うことも可能。","Charms are applied by gazes, or whispered words. As such, they
can be resisted by shutting one's eyes and ears. They may also be
resisted by a subject with an extremely strong will."
"また、既にチャームを掛けられている対象に上書きは出来ない。
これは淫魔同士で餌の取り合いを防ぐ為の制約であると思われる。","Also, a charmed subject cannot be re-charmed. This is thought to
be a measure to reduce competition between succubi for food."
"※これを利用して予めオークにチャームを掛けておくことで
リリーに上書きされることを防ぎ
オークをスパイとして送り込むことが出来る。","With this knowledge, we can charm the orcs in advance, then send
them to the mansion to spy on Lily without worrying
about their charms being overwritten."
"\n<リリー>あの豚・・・
よくも騙してくれたわね。
（散々こき使ったけど。）","\n<Lily>Those pigs...
How dare they deceive me.
(Although I did work them to the bone.)"
"EV008","EV008"
"EV009","EV009"
"EV010","EV010"
"機械製の箱のようなものに屋敷の部屋が映し出されている・・・","One of the mansion's rooms is displayed in a strange, mechanical box..."
"EV011",""
"EV012",""
"EV013",""
"触るな！と書かれている。","Do not touch!' is written here."
