"イベント実行",
"\n<ベルーチェ>今日の実験はどうでしたか？","\n<Velvet>How was today's experiment?"
"\n<チョコレ>ママ！
今日は集めたリリーの魔力を使って
トラを淫魔化させる実験に成功しました。","\n<Chocolat>Mama!
Today I used the magic gathered from Lily to turn the tiger
into a succubus. The experiment was a success."
"\n<チョコレ>褒めてくらさい。","\n<Chocolat>Shower me with praise."
"\n<ベルーチェ>素晴らしいですねチョコレ。
これでまたひとつ、私たちの夢に近づくことが出来ました。","\n<Velvet>Wonderful, Chocolat.
We're now one step closer to achieving our dream."
"\n<チョコレ>ふへへ・・・♥","\n<Chocolat>Hee hee...♥"
"\n<ベルーチェ>ところで、トラを淫魔に変えたとなると
餌も変えなくてはいけないのでは？","\n<Velvet>By the way, now that the tiger is a succubus,
did you have to change her diet at all?"
"\n<チョコレ>研究員さんがご飯になりました。","\n<Chocolat>I fed her a researcher."
"\n<ベルーチェ>え・・・？","\n<Velvet>Eh...?"
"\n<チョコレ>あの、えーっと・・・
センター分けの、お鼻が大きい人れす。
白目剥いて泡吹きながら痙攣してました。","\n<Chocolat>Oh, ummm...
He had middle-parted hair, and a big nose. Last I saw, he was
convulsing, frothing at the mouth, and I saw the whites of his eyes."
"\n<ベルーチェ>それはいけません。
彼らは大切な人材です。
餌にするなんて・・・！","\n<Velvet>You mustn't do that.
Those are our valuable human resources.
You can't just use one as food...!"
"\n<チョコレ>・・・？
回収しましたが、自発呼吸は出来てます。
一応。","\n<Chocolat>...?
I got him back. His breathing is spontaneous though.
Or it was, anyway."
"\n<ベルーチェ>生きてはいるんですね・・・？","\n<Velvet>He's still alive...?"
"\n<チョコレ>死んではないれす。","\n<Chocolat>He's not dead."
"\n<チョコレ>点滴しておいたので
1週間くらいすれば喋れるようになります。
多分。","\n<Chocolat>I've got him on an IV drip.
He should be able to speak again in a week or so.
Maybe."
"\n<ベルーチェ>そうだわ！
餌が必要なのであれば、リリー達の精奴隷を使いましょう。
逃げ出したことにすれば気付かれないはずです。","\n<Velvet>I know!
If you need fodder in the future, use one of Lily's semen slaves.
We can let her think that they ran away."
"\n<ベルーチェ>もう研究員を餌にしてはいけませんよ？
いいですね？","\n<Velvet>No more feeding researchers to succubi.
Understand?"
"\n<チョコレ>はーい。","\n<Chocolat>Yeeeep."
"\n<チョコレ>ふんふーん♪","\n<Chocolat>Humm hummm♪"
"\n<ベルーチェ>上機嫌ですねチョコレ。","\n<Velvet>Someone's in a good mood, Chocolat."
"\n<チョコレ>もうすぐリリーの魔力が十分溜まるのれ
ずっとやりたかった実験が出来るのれす♥","\n<Chocolat>I've almost gathered up enough of Lily's magic.
Soon, I can perform the experiment of my dreams♥"
"\n<ベルーチェ>あらまぁ、それは良かった。
ふふ♥
チョコレは本当に好奇心旺盛ですね。","\n<Velvet>Oh my, that's wonderful.
Fufu♥
You're just full of curiosity, aren't you?"
"\n<ベルーチェ>ところで、
リリーの魔力はどうやって集めているのですか？","\n<Velvet>By the way,
how exactly do you gather Lily's magic?"
"\n<チョコレ>お風呂れす。","\n<Chocolat>The bathroom."
"\n<ベルーチェ>お風呂？","\n<Velvet>The bathroom?"
"\n<チョコレ>魔力は水に溶けやすいのれす。
身体から垢が落ちるのと同じように、
魔力も代謝によって放出されます。","\n<Chocolat>Magic is water soluble.
Similar to the way dirt washes off her body,
metabolised magic falls off in the water."
"\n<チョコレ>なのれ、排水口からお湯を回収して
それに水晶を浸けておくと勝手に溜まります。","\n<Chocolat>And so, I collect the bath water from the drain,
and place a crystal in it. The magic accumulates over time."
"\n<ベルーチェ>あら。
案外、原始的な方法なのね。","\n<Velvet>Oh my.
What a surprisingly creative method."
"\n<チョコレ>魔力とは元々、身体の外に漏れ出た心の力れす。
そして、肉体と精神を結びつけるものは水。
人体の70%が水分なのもそれが理由れす。","\n<Chocolat>Magic was originally the power of the mind coming
out of the body. Water is what unites the body and the mind,
hence why humans are 70% water."
"\n<ベルーチェ>なるほど。
水場に幽霊が出るって話も、あながち間違いじゃないのね。","\n<Velvet>How interesting.
So it's no wonder people always see ghosts near water."
"\n<チョコレ>お、オバケは怖いれす。
科学的じゃないれす。
・・・","\n<Chocolat>G-ghosts freak me out.
There's nothing scientific about them.
..."
"\n<ベルーチェ>肉体を離れた死者の精神が水に溶けて残り続ける。
とても科学的ですわ。","\n<Velvet>It's purely scientific. The spirits of the dead, separated
from their flesh, melt into the water."
"\n<チョコレ>今日はお風呂入らないれす。","\n<Chocolat>I won't be taking a bath today."
"\n<チョコレ>料理を作りました。","\n<Chocolat>I cooked something."
"\n<ベルーチェ>え？","\n<Velvet>Oh?"
"\n<チョコレ>味見してくらさい。","\n<Chocolat>Here, taste it."
"\n<ベルーチェ>う・・・！
（薬品と生臭さ・・・焦げ・・・）","\n<Velvet>Uuh...!
(A chemical, fishy odor... It's burnt...)"
"\n<ベルーチェ>そ、創作料理ですか？\.
材料は何でしょう？
（視界に映るだけで吐きそう・・・）","\n<Velvet>H-how very creative.\.
What ingredients did you use?
(Just seeing it makes me want to vomit...)"
"\n<チョコレ>シメジ、\.ヒラメ、\.出目金。\.\.
を塩酸で煮込みました。","\n<Chocolat>Shimeji mushroom, \.flounder, \.popeyed goldfish,\.\.
all simmered in hydrochloric acid."
"\n<ベルーチェ>塩酸！？","\n<Velvet>Hydrochloric acid!?"
"\n<チョコレ>あーん。","\n<Chocolat>Say aaaaah."
"\n<ベルーチェ>ひぃ！
スプーンが溶けてる！","\n<Velvet>Hyaah!
The spoon is melting!"
"\n<チョコレ>あ、鉄だと塩酸で溶けちゃいますね。
銅の食器を持ってきます。
銅なら溶けないのれ。","\n<Chocolat>Ah, right. Hydrochloric acid melts iron.
I'll get some copper utensils.
Copper won't melt."
"\n<ベルーチェ>その知識があるのに何故！？","\n<Velvet>How can you be so smart, and still do this!?"
"\n<ベルーチェ>いいから！取りに行かなくて！","\n<Velvet>Wait, come back! Don't bring another spoon!"
"チョコレ",
"ベルーチェ",
"グロ",
