"EV001","EV001"
"バルブは開けると水が噴出し、閉めると止まります。
実験終了後は必ず閉めて節水を心がけてください。","Water will spout while the valve is open, and will stop when closed.
Help conserve water by closing the valve after each experiment."
"※追記
ここは耐水実験室であってお風呂でもプールでもありません。
次にここで泳いでいる職員を見つけたら減給します。","※PS
This is a waterproof lab, not a pool, and not a bathtub.
The next employee found swimming here will have their pay docked."
"EV002","EV002"
"この部屋の仕掛けの説き方は・・・","How to solve this room..."
"答えを見る","See answer"
"やめておく","Stop"
"バルブを閉じて右側に移動し、瓦礫を壊して宝箱を動かし、
その後バルブを開けて水を出し、凍らせてください。
梯子で上の足場に上り、氷を足場にして対岸まで渡りましょう。","Close the valve, and move to the right, then break the rubble and move
the chest. Next, open the valve, and freeze the water. Climb the ladder,
then cross the ice to the other side of the cliff."
"凍らせたままではバルブを閉めても通ることが出来ません。
間違えて凍らせてしまった場合は炎を当てて溶かすことが出来ます。","If it is frozen, the water won't go away even if the valve is closed.
If you make a mistake, you can use fire to melt the ice."
"とらちゃん",""
"\n<マンティス>はぁ・・・
喉がすごく乾くわ・・・
気が付いたら水辺に行っちゃう。","\n<Mantis>Ahhh...
My throat feels so dry...
When I get this feeling, I move to the waterside."
"\n<マンティス>早く・・・
早く精液を飲ませて。","\n<Mantis>Quickly...
Quickly, let me drink your semen."
"\n<リリー>寄生されてんじゃないの？","\n<Lily>Awfully selfish of you, no?"
"\n<マンティス>あらぁ♥
獲物が自分から寄って来るなんて。
美味しそう♥","\n<Mantis>Oh my♥
My prey has waltzed right up to me.
Looks tasty♥"
"\n<マンティス>私、すごーくお腹が減ってるの。
残さずに全部食べ尽くしてあげる♥","\n<Mantis>I am absolutely famished.
I'll devour you entirely, leaving nothing behind♥"
"\n<リリー>残念だけど、コイツは私の精奴隷なの。
イカされるのはあんた。","\n<Lily>Unfortunately, this one is my semen slave.
You'll be the one cumming today."
"\n<リリー>チンポしゃぶられて喘いでる姿、
なかなか面白かったわよ。
よく我慢したわね。","\n<Lily>It was awfully amusing, seeing you sucking cock,
gasping and moaning.
You held out pretty well."
"ポップアップ有効化",""
"炎","Flame"
" <enemy:99><cw:1.5><ch:1.5>"," <enemy:99><cw:1.5><ch:1.5>"
"勢いよく水が噴き出している・・・","Water is gushing out..."
"カチコチに凍っている・・・","It's frozen solid…"
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",""
"置手紙",""
"マンティスの記録","Mantis Lab Report"
"巨大なカマキリの魔物で、獲物を鎌で捕まえて捕食する。
淫魔化実験の際、上半身のみ人の姿に変化した。","A massive praying mantis monster. Catches her prey using her
sickle arms. Only her upper body was changed in the \nsuccubus transformation experiment."
"これを魔力が足りなかったからと見るか、
人間を欲情させるには十分だからと見るか・・・
意見が分かれるところだ。","Opinions are divided as to why this is...
Some argue that insufficient magic power was used.
Others argue that this is enough to spur human desire."
"実際、身体の半分が化け物であるにもかかわらず
姿を見た男性職員の9割の勃起が確認された。
私も勃起した。","In fact, in spite of her half-monster body, she caused an
erection among 90% of the male staff exposed to her.
I count myself among them."
"餌（30代 冒険者）を与えてみたところ、
吸精をした後に、身体を捕食する姿が確認された。
これは元のマンティスの生態と同じものだ。","Upon being fed (Adventurer, 30's), after draining her prey of his
semen, she proceeded to devour his body.
This behavior coincides with her previous mantis instincts."
"おぞましい光景だが、その姿は何とも言えずエロティックであった。
事実、男性職員の9割の勃起が確認された。
私も勃起した。","The scene was indeed grotesque, but also indescribably erotic.
In fact, 90% of male staff who witnessed this received an erection.
I count myself among them."
"※マンティスは軽い捕食描写があります。
苦手な方はオプションからOFFにしてください。","※Please note, the Mantis features mild depictions of predation.
Please turn this OFF in the options if you need to."
"バルブが開いている・・・","The valve is open..."
"バルブが閉まっている・・・","The valve is closed..."
"開ける","Open"
"閉める","Close"
"EV008",""
"もう何も入っていない・・・","There's nothing else here…"
"氷足場",""
"EV010",""
"いわ",""
" <enemy:145>"," <enemy:145>"
"瓦礫だ。
崩せるかもしれない。","Rubble.
Looks like it could be broken."
"EV012","EV012"
"凍結シリーズ",""
"EV053",""
