"でかとら",""
"ーーーーー基本変更点ーーーーー",""
"とら","Tiger"
"\n<\n[3]>見つけた！
うりうりうりぃー！！
挟み潰してやる♥","\n<\n[3]>Found you!
C'mere you-!!
I'll crush you♥"
"\n<\n[3]>ちーび！ちーび！
悔しかったら抵抗してみろ♥
あはははは！","\n<\n[3]>Teeny! Puny!
If you don't like this, just break free♥
Ahahahaha!"
"\n<\n[3]>柔らかいだろー？気持ちいいだろー？
もうこのまま潰されてしまえー♥
ほーら！ほおおおら！","\n<\n[3]>Aren't they soft-? Doesn't it feel good-?
Just let yourself get squished♥
Hora! Hoooooora!"
"\n<\n[3]>がおー！
潰れろ！潰れろ！
潰れて射精しろ♥ククク♥","\n<\n[3]>Roar!
Crush! Crush!
Cum while I crush you♥ Kukuku♥"
"\n<\n[3]>イってしまえイってしまえ。
ばかばかばーか♥","\n<\n[3]>Cum for me, cum for me!
Stupid, stupid pipsqueak♥"
"\n<\n[3]>ぐるるるる♥
おーイったイったぁ。
オレのおっぱいそんなに気持ちよかったかぁ？","\n<\n[3]>Puurrrrrr♥
Oh, you came, you came.
Did my tits really feel that good?"
"EV002","EV002"
"stopPlayerShot",""
"ERS_テンプレートランダム生成 70 1 2 3 0 0",""
"\n<リリー>はー、不覚だわ。
私ともあろうものが、雑魚淫魔に小さくされるとは・・・","\n<Lily>Hah, I don't believe this.
To think some low-level succubus could ever shrink me..."
"\n<リリー>魔力さえあればあんな魔法・・・
もう、あんたのせいだからね・・・！","\n<Lily>If only I still had my magic power...
This is all your fault, you know...!"
"\n<リリー>扉も閉められちゃったし。
なんとかこの部屋から出る方法を探しましょ。","\n<Lily>The door's been sealed as well.
We need to search for another way out of here."
"※雑魚淫魔から逃げながら脱出のアイデアを集めてください。
落ちているキラキラを一定数集めるとクリアです。","※Avoid the succubi as you search for ways to escape.
Clear the room by finding all the sparkles."
"逃走開始","Begin"
"セーブする","Save"
"説明","Explanation"
"この部屋の中を歩き回りながら脱出のアイデアを考えてください。
キラキラ光っているもの（アイデア）を一定数拾うとクリアです。","Walk around the room, and come up with ideas to escape.
Collect all the sparkles (ideas) to clear the room."
"淫魔はプレイヤーより足が速いので追いつかれてしまいます。
見つかった場合は机や棚の影に隠れてください。
隠れている間は安全です。","The succubi run faster than you, so they will catch up to you.
If you are spotted, hide under a desk or shelf.
You are safe while hidden."
"淫魔に接触するとタイミングバーが出て精力にダメージを受けます。
クリティカルで止めるとダメージが半減します。
精力が0になるとイカされてゲームオーバーです。","If a succubus catches you, the timing bar will appear, and you will take
energy damage. Stop in the critical spot, and you will take half damage.
If your energy reaches 0, you will cum, and the game will end.
"
"アクションイージーのオプションをONにすると
必要なアイデアの数が半減します。","When you have 'Easy Action' turned on,
only half the ideas are needed."
"隠れ",""
"EV008",""
"先に進むためには・・・","How to move forward..."
"答えを見る","See answer"
"やめておく","Stop"
"部屋の中を歩き回って脱出のアイデアを拾い集めてください。
（キラキラ）
敵に追いかけられた場合は机の下などに隠れましょう。","Walk around the room, and pick up the escape ideas.
(Sparkles)
If an enemy spots you, hide under a desk or shelf."
"隠れている間は安全です。
精力が減った時はスキルやアイテムで回復しましょう。","You are safe while hidden.
Use skills or items to restore your energy when it is low."
"かまきり",""
"マンティス","Mantis"
"\n<\n[3]>あーむ・・・♥
小さいおちんちん、身体ごとなめ尽くしてあげる♥
じゅるるる♥","\n<\n[3]>Ahhhm...♥
Your penis is so small, I'll suck on your entire body♥
Sluuuurp♥"
"\n<\n[3]>ほらほら♥ん♥じゅる・・・♥
腰ごとフェラ出来そう♥
くすくす♥","\n<\n[3]>Hora hora♥ Mmm♥ Sluuurp...♥
I can suck on your entire waist♥
Tee hee♥"
"\n<\n[3]>溶かしてあげる♥
ぬるぬるで気持ちいいでしょ♥くす♥
じゅる♥じゅるるるるる♥","\n<\n[3]>I'll make you melt♥
You'll feel so nice and slimy♥ Hee♥
Slurp♥ Sluuuuuurp♥"
"\n<\n[3]>射精したら食べちゃうわよ♥ちゅっ♥
ほら♥逃げなくていいの？
早く・・・じゅる♥逃げないと・・・♥","\n<\n[3]>If you ejaculate, I'll eat you♥ Smack♥
Hora♥ Shouldn't you run away then?
Hurry... Slurp♥ You'd better run♥"
"\n<\n[3]>小さな身体を震わせて・・・
んふ♥
イクの？いいわよぉ♥","\n<\n[3]>Your little body is trembling...
Mmph♥
Are you cumming? That's good♥"
"\n<\n[3]>あはぁ・・・♥
出ちゃったの？カワイイ♥
ちっちゃなおちんちんがぴゅっぴゅしてる♥","\n<\n[3]>Ahaa...♥
Did you cum? So cute♥
Your tiny dick is squirting♥"
"ラミア","ラミア"
"ウィッチラミア","Witch Lamia"
"\n<\n[3]>捕まえた♥
ほぉら♥おっぱいから逃げられるぅ？
手足がずぶずぶお肉に埋まっちゃうわね♥","\n<\n[3]>Gotcha♥
Hoora♥ Can you escape my boobs?
Your arms and legs are caught deep in my flesh♥"
"\n<\n[3]>ほらほら♥
暖かくて柔らかくて天国でしょう？
もう逃げなくていいのよー♥あはっ♥","\n<\n[3]>Hora hora♥
Isn't this warmth and softness just heavenly?
There's no need for you to run-♥ Ahaa♥"
"\n<\n[3]>減った魔力を補充しなきゃ。
アナタの精を吸い尽くして♥
ほらぁ♥出して♥出して♥","\n<\n[3]>I need to replenish my mana now.
Let me suck out your semen♥
Hoora♥ Cum♥ Cum♥"
"\n<\n[3]>おっぱいですり潰してアゲル♥
ぐーちゅぐーちゅ♥
ぐりゅぐりゅぐりゅ♥","\n<\n[3]>I'll grind you up with my boobs♥
Squeeze squeeze♥
Squish squish squish♥"
"\n<\n[3]>なぁに？イクの？
あはっ♥イっちゃうの？
あはははは！","\n<\n[3]>What's this? You're cumming?
Ahaa♥ Are you really cumming?
Ahahahahaha!"
"\n<\n[3]>はーい♥我慢できませんでしたー♥
じゃ、このままおっぱいで搾り尽くしちゃうわね♥","\n<\n[3]>Of course♥ You just couldn't resist♥
Then, I'm going to squeeze you dry with my tits♥"
"オーク","Orc"
"\n<\n[3]>ほらぁ、じっとしてろ。
ケツで潰されて死にたくねーだろ？
あははは！","\n<\n[3]>Hora, stand still.
You don't want my ass to crush you, do you?
Ahahaha!"
"\n<\n[3]>身体全身でするセックスはどーだぁ？
おらおらぁ♥
このまま子宮にただいまんこしろ♥","\n<\n[3]>How about some full-body sex?
Oh my♥
Welcome to my womb♥"
"\n<\n[3]>あー♥このディルドさいこー♥
気持ちいいとこ当たる♥
動くなよ。逃げたら殺す♥","\n<\n[3]>Ahhh-♥ This dildo is the greatest-♥
It's hitting all the right spots♥
Don't you dare move. You're dead if you run♥"
"\n<\n[3]>アタシのナカ熱いだろ？
ここに入れるとオークはすぐイキまくって死ぬんだよ。
オマエはどーだ？","\n<\n[3]>Hot in there, isn't it?
When I put an orc in there, they all cum
themselves to death. How do you like it?"
"\n<\n[3]>はっ！もうイっちまうのかぁ？
雑魚♥ほらイケよ♥
何滴出るかな？あっはっは♥","\n<\n[3]>Ha! Are you already about to cum?
Weakling♥ Cum for me then♥
How many droplets will I get? Ah ha ha♥"
"\n<\n[3]>んー？イってんのか？
小さくて全然わかんねー♥
くくく♥もっと奥まで突っ込まねーとな♥","\n<\n[3]>Mmm? Did you cum?
You're so small, I couldn't tell♥
Kukuku♥ We'll just have to go deeper♥"
"リリー","Lily"
"\n<リリー>机の下とか、本棚の裏とか、
そういうところに隠れながら動きなさい。","\n<Lily>Hide under the desks or the bookshelves
as you make your way around the room."
"\n<リリー>・・・
食べられたりしないでよね。","\n<Lily>...
Don't get eaten."
"\n<リリー>あいつら、机に隠れるとすぐに見失うみたいね。
脳みそ小さすぎでしょ。","\n<Lily>These guys seem to lose interest the moment you
duck under a desk. Tiny pea brains."
"\n<リリー>小人化の効果が切れるまで隠れるのは得策じゃないわ。
どこかに何か無いか、探してみましょ。","\n<Lily>I really don't think we should hide until the shrink
spell wears off. We should look around for a way out."
"\n<リリー>効果が切れるまで隠れるのは得策じゃないわ。
どこかに何か無いか、探してみましょ。","\n<Lily>Let's not wait for the spell to break.
We should look for a way out."
"\n<リリー>幸い、あいつらも淫魔だから
物理的に潰してきたり餌を無駄にするようなことはないわ。
捕まっても射精しないことだけを考えて。","\n<Lily>Luckily, they're all succubi. They wouldn't waste a meal
by physical harming you. If you're caught, just try your
hardest not to ejaculate."
"\n<リリー>あんたをイカせるのは私なんだから。
こんなところで雑魚にイカされたりしないでよね。","\n<Lily>I'm the only one who can make you cum.
Don't ejaculate for small fry like these guys."
"\n<リリー>はぁ、小さくされるのがこんな気分だったなんて。
体格差がこれだけあるとまともに戦えないわね。","\n<Lily>Haah, so this is what it's like to be shrunk.
How am I supposed to fight with a body like this?"
"\n<リリー>あんた、この状況に興奮したりしてないわよね？
私が小さくした時もビンビンに勃起してた変態だから
心配だわ。","\n<Lily>This turn of events hasn't gotten you excited, has it?
It takes a real perv to get turned on by being shrunk.
You're starting to make me nervous."
"\n<リリー>あんたもここに隠れてるの？
あー。","\n<Lily>Are you hiding here too?
Ahhh."
"\n<リリー>これあげるから他所行きなさいよ。
見つかるでしょ。","\n<Lily>Here, take this and go somewhere else.
Keep looking."
"\n<リリー>こっちくんじゃないわよ。
しっ！しっ！","\n<Lily>Get the hell outta here!
Shoo! Shoo!"
"EV025","EV025"
"鍵が閉まっている・・・
出られそうなスペースもない。","The door is locked...
There's no space to squeeze through."
"EV026","EV026"
"手がかり",""
"サイバーゴム",""
"だめだ・・・
網目が細かすぎて通れそうにない。","No use...
The grate is too fine to get through."
"・・・！
何か落ちている。","...!
Something is falling."
