"シャルイベ",""
"\n<シャーロット>何してるの？
まだ寝ないの？もう夜中だよ。",""
"\n<シャーロット>撫でて。",""
"どうしたの？",""
"寝れないの？",""
"\n<シャーロット>別に。
みんな寝ちゃって暇なだけ。",""
"\n<シャーロット>今日お昼寝し過ぎちゃってさ。
眠くないの。",""
"\n<シャーロット>うん。
暇だから来たの。灯りついてたし。",""
"\n<シャーロット>ご主人はまだ寝ないの？",""
"\n<シャーロット>ごろごろ・・・
ごろごろ・・・",""
"またたびいる？",""
"よしよし。",""
"\n<シャーロット>いらない。
じっちゃに怒られるから。",""
"\n<シャーロット>んふふふ・・・♥",""
"\n<シャーロット>ご主人いい匂いする。
くんくん・・・",""
"\n<シャーロット>あーもうダメ。
我慢できない。",""
"\n<シャーロット>えっちしよ。",""
"\n<シャーロット>ふにゃぁぁ～・・・
今ならぐっすり寝られる気がするぅ～・・・",""
"\n<シャーロット>ふぁ～・・・
ベッドまで連れてって・・・
ボクもう歩けない。",""
"\n<シャーロット>一緒寝よ。",""
"\n<シャーロット>あーお腹いっぱいになった。",""
"EV002","EV002"
"・・・","..."
"\n<？？？>おーい。",""
"\n<？？？>おーい。大丈夫ー？",""
"・・・？",""
"あれ・・・ここは・・・？",""
"\n<？？？>あ、起きた起きた。
おはよう。もう大丈夫？",""
"誰・・・？",""
"淫魔！？",""
"\n<？？？>ん・・・？",""
"\n<？？？>・・・なるほど。
ふんふん。",""
"\n<？？？>・・・",""
"\n<？？？>あ、あ、そんなに警戒しなくていいよ。
ボクは淫魔だけどキミの敵じゃないから。",""
"\n<？？？>あー、ボクはシャーロット。
えーっと・・・よろしくね！",""
"\n<シャーロット>キミは？",""
"\n<シャーロット>・・・
\n[1]ね。おっけー。覚えたよ。",""
"\n<シャーロット>（\n[1]・・・）",""
"\n<シャーロット>どうしてここに来たのか分かるかな？
何があったか、思い出せる？",""
"\n<シャーロット>そっか。リリスって淫魔にヤラレチャッタんだね。
それより前の記憶は・・・無いのか。
ふんふん。記憶喪失みたいだね。",""
"\n<シャーロット>・・・",""
"\n<シャーロット>あ、もう少しそこで休んでていいよ。
まだ頭が混乱してるだろうし。
落ち着いたら話しかけて。",""
"シャル2",""
" <enemy:99>"," <enemy:99>"
"\n<シャーロット>もう大丈夫なの？
落ち着いた？",""
"ここはどこ？",""
"自分のことについて",""
"シャーロットについて",""
"これからのこと",""
"もう大丈夫",""
"\n<シャーロット>ここはボクの夢の中だよ。
正確に言うと『ボクの夢の中』の『ボクのご主人の部屋』。",""
"\n<シャーロット>夢の通り道で倒れてたキミを
とりあえずここまで連れて来たの。",""
"\n<シャーロット>あのままほおっておいたら
また淫魔に襲われちゃいそうだったし。",""
"\n<シャーロット>ここは現実とは違う空間だから
時間の流れが普通とは違うんだ。
ゆっくり流れたり、逆流したり。",""
"\n<シャーロット>夢っていうもう一つの世界があるって
考えた方が分かりやすいかもね。",""
"※敵に敗北して死亡、もしくはバッドエンドになった場合は
時間が巻き戻り、記憶を引き継いだ状態で復活します。",""
