"エイミー","エイミー"
" <enemy:99>"," <enemy:99>"
"\n<エイミー>あ～また猫ちゃん
もふもふしに行こうかなぁ・・・","\n<エイミー>あ～また猫ちゃん
もふもふしに行こうかなぁ・・・"
"\n<エイミー>触られまくって
うっとおしそうにしてる時の顔が一番可愛い♥","\n<エイミー>触られまくって
うっとおしそうにしてる時の顔が一番可愛い♥"
"\n<エイミー>夢のかけら、早く集まるといいね。
・・・","\n<エイミー>夢のかけら、早く集まるといいね。
・・・"
"\n<エイミー>あたし、起きてた時の記憶殆ど無いんだよね。
あたしの夢のかけらはどこにあるんだろ。","\n<エイミー>あたし、起きてた時の記憶殆ど無いんだよね。
あたしの夢のかけらはどこにあるんだろ。"
"\n<エイミー>どうしたの？
経験値を分けてくれるのかな？
ごくり・・・","\n<エイミー>どうしたの？
経験値を分けてくれるのかな？
ごくり・・・"
"\n<エイミー>ふんふ～ん♪
ふふふ～ん♪","\n<エイミー>ふんふ～ん♪
ふふふ～ん♪"
"\n<エイミー>困ったことがあったら
お姉さんにまっかせなさーい！","\n<エイミー>困ったことがあったら
お姉さんにまっかせなさーい！"
"\n<エイミー>女でおちんちん付いてんのいいねー♥
ちょっと脱いでくれる？
デッサンさせてよ。","\n<エイミー>女でおちんちん付いてんのいいねー♥
ちょっと脱いでくれる？
デッサンさせてよ。"
"\n<エイミー>ちょっとそこで裸になってポーズとってよ。
デッサンするからさ。
ヒザ曲げて、アレがギリギリ見えないぐらいのポーズ。","\n<エイミー>ちょっとそこで裸になってポーズとってよ。
デッサンするからさ。
ヒザ曲げて、アレがギリギリ見えないぐらいのポーズ。"
"\n<エイミー>ポリーがあんなに可愛く育つなんて・・・♥","\n<エイミー>ポリーがあんなに可愛く育つなんて・・・♥"
"\n<エイミー>うわ、目にゴミが入った！
擦りたい・・・！でも擦ったら目に絵具がはいる・・・！
あぁ・・・！","\n<エイミー>うわ、目にゴミが入った！
擦りたい・・・！でも擦ったら目に絵具がはいる・・・！
あぁ・・・！"
"\n<エイミー>淫魔の魔力に侵された夢のかけらを食べてたから
ポリーも淫魔になったのかな？","\n<エイミー>淫魔の魔力に侵された夢のかけらを食べてたから
ポリーも淫魔になったのかな？"
"\n<エイミー>星みたいに見える光のひとつひとつが
みんなの記憶なんだよ。
ロマンチックだと思わない？","\n<エイミー>星みたいに見える光のひとつひとつが
みんなの記憶なんだよ。
ロマンチックだと思わない？"
