"自動実行","自動実行"
"自分鉄格子","自分鉄格子"
"鉄格子の扉だ・・・","It's an iron grill gate..."
"開いてた・・・","It opened..."
"ロメアル鉄格子","ロメアル鉄格子"
"MP_SET_MOVIE ロメリア立ち絵アニメ基本2","MP_SET_MOVIE ロメリア立ち絵アニメ基本2"
"MP_SET_LOOP 20 on","MP_SET_LOOP 20 on"
"\n<ロメリア>えっ！？
あにき！？
どうやって外に・・・鉄格子は！？","\n<Meria>Ehh!?
Brother!?
That was an iron cell...how did you get out!?"
"開いてた","It opened."
"擦ったら摩擦で溶けた","I rubbed it really hard and it melted."
"\n<ロメリア>嘘！
それって・・・鍵を掛け忘れたってコト！？
ラッキー・・・！","\n<Meria>You're joking!
No way...they forgot to lock it!?
What a stroke of luck...!"
"\n<ロメリア>いや、待って。怪しい・・・
罠かもしれない。気を付けてあにき。
あいつら、何か企んでるのかも。","\n<Meria>No, wait. That's too suspicious...
It might be a trap. You should be careful brother,
they could be plotting something."
"\n<ロメリア>あれだけ搾られた癖に冗談言うなんて余裕あるね。
さすがあにき。
死んどけ。","\n<Meria>They've been draining you so much, and yet
you can still crack a joke huh? That's my big brother!
Still standing!"
"\n<ロメリア>でもこんなに簡単に出られるなんてなんか怪しくない？
気を付けて。
罠かもしれないよ。","\n<Meria>But don't you think it's weird you could just get out?
Be careful.
It might be some kind of trap."
"MP_SET_MOVIE アルス立ち絵アニメ基本","MP_SET_MOVIE アルス立ち絵アニメ基本"
"\n<アルス>お前・・・！
どうやって出たんだ！？","\n<Alsto>Wha, you...!
How did you get out!?"
"鉄格子を引きちぎった","I broke the bars with my hands."
"\n<アルス>鍵を掛け忘れたのか・・・？
や、やった！
これはチャンスだぞ！","\n<Alsto>Could they have forgotten to lock the cell...?
T-This is it!
This could be our big break!"
"\n<アルス>いや待て。何か怪しいな・・・
こんなに簡単に獲物を逃がすか？
罠かもしれないぞ。気を付けろ。\n[1]。","\n<Alsto>Wait. Something is off...
Could escaping really be that easy?
This could be a trap. Be careful, \n[1]."
"\n<アルス>まさか俺の妹がゴリラだったなんてな。
すまん、この鉄格子も頼む。","\n<Alsto>I had no idea my littler sister was a gorilla!
I hope you don't mind if I trouble you to do this cell too."
"\n<アルス>どうやら俺の鉄格子はお前のところより固いようだな。
サビていたのか・・・？","\n<Alsto>Ah, it seems like the bars of my cell are a bit
tougher. Were yours rusty...?"
"\n<アルス>こんなに簡単に出られるのは逆に怪しいな。
罠かもしれない。
気を付けろ。\n[1]。","\n<Alsto>Being able to get out so easily is suspicious indeed.
It could be a trap.
Be careful, \n[1]."
"\n<リリー>鍵を掛けたかどうか不安な時って結局
ほとんどの場合はちゃんと鍵掛けてるのよね。
無意識にっていうか。","\n<Lily>You know, when someone is concerned they forgot to shut a door,
there's a 99% chance they closed it to begin with.
It's like a subconscious thing."
"\n<ライム>あるあるー。","\n<Lime>Such is the way of life-."
"\n<アルス>まずい！あいつらだ！
戻って来た！
どこか隠れられる場所はないか！？","\n<Alsto>Not good! It's them!
They've come back!
Is there some place you can hide!?"
"\n<ロメリア>あいつらの声・・・！！
戻って来た！！
どうしようあにき！隠れられる場所とか・・・！","\n<Meria>Those voices...!!
They're coming back!!
What do we do!? There must be somewhere you can hide...!"
"\n<アルス>早く隠れろ！
どこか・・・なんかあるだろ！","\n<Alsto>Hide, on the double!
There must be somewhere around!"
"\n<ロメリア>見つかる前に隠れて！
早く！
急いで！","\n<Meria>Hide before they spot you!
Quickly!
And hurry!"
"\n<アルス>・・・
聞こえてたか？
なんか妙なことになったな。","\n<Alsto>...
Did you hear that?
Now that was weird."
"\n<アルス>だけど、これはチャンスでもある。
あいつらが調子に乗って油断しているうちに
脱出経路を探すんだ。","\n<Alsto>But, this could be our big chance.
It's the perfect time to search for an escape route
while they're caught up in the moment."
"\n<アルス>\n[1]。もし逃げられるようなら
俺の事は気にせず逃げるんだぞ。
分かったな？","\n<Alsto>\n[1]. If you are able to run away, 
then do so. Do not worry about me.
Do you understand?"
"置いてはいけない","Don't say things like that."
"うん","I understand."
"\n<アルス>俺のことは大丈夫だ。
お前さえ無事なら・・・","\n<Alsto>I will be just fine.
As long as you are safe..."
"\n<アルス>少し距離はあるが、無事に逃げ延びたら
ギルドに行って助けを呼んできてくれ。
それまでの間くらい、耐えてみせるさ。","\n<Alsto>Although it is a little far from here, there is
a nearby guild you can call on for help.
Until then, I'll be waiting."
"\n<アルス>よし。
気を付けて行けよ。\n[1]。
あまり無茶はするな。","\n<Alsto>That's it.
Be careful, \n[1].
Don't do anything rash."
"\n<アルス>ぐぅ～・・・・（腹の鳴る音）","\n<Alsto>*Gurgle...* (You can hear his belly rumble)"
"\n<\n[1]>あにき、お腹鳴ってるよ。
何か食べ物があったら持ってくるね。","\n<\n[1]>Alsy, I can hear your stomach groaning.
I'll bring back some food for you, okay?"
"\n<アルス>う・・・悪い。
余裕があったらでいいぞ。","\n<Alsto>I'm...fine.
There is no need to rush yourself for me."
"\n<ロメリア>なんか変なことになったね。
脱出ゲーム・・・
まぁ、ある意味チャンスだけど。","\n<Meria>That was kind of weird wasn't it?
An escape game...
Well, this could be a big chance for us though."
"\n<ロメリア>あの三馬鹿が調子に乗っているうちに
なんとかここを抜け出す方法を探そう！
あにき、頑張れ！","\n<Meria>You might be able to look for some way out
while those three idiots are distracted!
Do your best, brother!"
"\n<ロメリア>ぐぅ～・・・（お腹の鳴る音）","\n<Meria>*Groan...* (You can hear her stomach growling)"
"\n<ロメリア>あ、ごめん。
何か食べるものあったらお願いできる？
お、お腹空きすぎて・・・","\n<Meria>Ah, sorry about that.
Could I ask you to get something to eat when you go?
M-My stomach is killing me..."
"\C[3]※SAN値（正気度）について
\C[0]捕まって搾り取られたりすると正気を失って行きます。
SAN値によって発生するイベントが変わります。","\C[3]※Sanity Level Explaination:
\C[0]If you are caught and milked, your mind can become lost in
pleasure. During these events, your sanity level will change."
"SAN値はお菓子を見つけてアルスに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）","Find snacks and share them with Alsto to recover sanity.
Check your current sanity by using the Hand Mirror in your
items list. (Sanity is initially set to 10)"
"SAN値はお菓子を見つけてロメリアに渡すことで回復します。
現在のSAN値はアイテムの手鏡で確認できます。（初期値10）","Find snacks and share them with Meria to recover sanity.
Check your current sanity by using the Hand Mirror in your
items list. (Sanity is initially set to 10)"
"\n<アルス>うーん。
俺がゴリラだったらこんな檻ぐらい
こじ開けるんだけどなぁ。","\n<Alsto>Hmm.
If I were a gorilla, prying open a cage such as
this would be easy."
"\n<\n[1]>動物園のゴリラは檻に入れられてるから。","\n<\n[1]>Don't they keep gorillas in cages at the zoo...?"
"\n<アルス>見つからないように気を付けて行け。
おそらく正面玄関は鍵がかけられて使えないだろう。
脱出経路を探すんだ。","\n<Alsto>Take care that you aren't spotted.
I'm guessing the front door will likely be locked and unusable.
Search for another way out."
"\n<アルス>いいか\n[1]。
アルストロメリアの花言葉は『未来への憧れ』だ。
俺たちは必ず生きてここを出る。そのヴィジョンを持て。","\n<Alsto>Listen up, \n[1].
The flower Alstroemeria symbolizes, ""to look to the future.""
We have to get out of here no matter what. Hold that belief dear."
