"アーコ","Ako"
"MP_SET_MOVIE e8_Ta","MP_SET_MOVIE e8_Ta"
"MP_SET_LOOP 6 on","MP_SET_LOOP 6 on"
"\n<アーコ>やぁやぁ。アーコだよ。
何か欲しい物とかあるの？
見てく？","\n<Ako>Salutations. Ako here!
Are you here to buy something?
Want to look?"
"\n<アーコ>武器になりそうなものとか見つけた？
まずはそういうの探すといいかもね。","\n<Ako>Have you found anything you could use as a weapon?
If not, you should probably find something like that first."
"\n<アーコ>何食べたらそんなにおっぱい大きくなるの？
横縞模様だからおっぱい大きく見えるの？
錯覚？","\n<Ako>What do you eat to make your boobs so big?
Is it the stripes that make them look bigger?
Is it some kind of illusion?"
"\n<アーコ>囚人服に合ってるよ。
まさに囚人って感じ。
褒めてないよ。","\n<Ako>That prison outfit suits you.
I mean, you are a prisoner I guess.
Don't take it as a compliment."
"\n<アーコ>あたしは淫魔だし、気持ちが分かるから
どっちの味方もしないよ。
でも仲良くしたいって思ってる。","\n<Ako>I'm a succubus and can relate to what they're doing,
so I won't pick sides.
But I hope we can be friends."
"\n<アーコ>シィナは猫の時からの友達だよ。
リリーに淫魔にされたんだってさ。
あたしは違うやつに淫魔にされたけど。","\n<Ako>Shina has been my friend since we were just cats!
Lily turned her into a succubus, and now she's like that.
A different person turned me into a succubus though."
"\n<アーコ>あたしも淫魔だから精液が一番美味しいと思うけど
カリカリもかつおぶしも同じくらい美味しいと思う。
一番がいっぱいあるといいね。","\n<Ako>I'm a succubus too, so of course semen is the most delicious
thing in the world... But I love crisps and katsuobushi as well.
I can never get enough of them~"
"\n<アーコ>ここは元々大金持ちが住んでたんだって。
メイドも使用人もいっぱい居たってさ。
なんでこんな森の中に？って感じ。","\n<Ako>A very rich person used to live here...
And lots of maids and servants too. It makes me think-
What was it doing out in the forest?"
"\n<アーコ>みんなお金に興味ないから
あたしがこの館から色々持って行っても何とも思わないんだよ。
だから、ここで仕入れて町で売ったりする。","\n<Ako>Because no one has any interest in gold here,
they don't care if I take stuff from the mansion.
So, I just take it to town and sell it."
"\n<アーコ>その見返りにタバコとか持ってきてあげるの。
まぁ、それもお金取るけどね。","\n<Ako>I'll give you cigars and stuff for something good.
...Well, for the right price that is."
"\n<アーコ>淫魔の巣に閉じ込められるのは
人間にとって辛いでしょ。
少しでもえっちな気分になるとすぐ硬くなっちゃう。","\n<Ako>It must be so difficult being a human 
locked up in the succubus hideout.
Even being just a bit aroused will make you hard."
"\n<アーコ>行き詰ったらとりあえず攻撃してみたらいいよ。
壊せるものとかあるかもしれないし。","\n<Ako>If things look hopeless, just keep attacking.
You might just make a break through."
"\n<アーコ>お兄ちゃんも下に居るの？
面白そうだから後で行ってみよー。","\n<Ako>Your big brother is down there too right?
How interesting, I'll be sure to give him a visit later-."
"\n<アーコ>妹も捕まってるの？
後で行ってみよー。
仲良くなれるかな？","\n<Ako>So your sister has been captured as well?
I'll go and visit her later-.
I wonder if we would get along well?"
"買い物","I'd like to buy something."
"用事はない","I don't need anything right now."
"\n<アーコ>何を買ってくれるのかな？","\n<Ako>What would you like to buy?"
"\n<アーコ>ははーん。さては冷やかしだな？
ふーん！","\n<Ako>Yeah yeah. Did you come just to stare?
Hmmph!"
"\n<アーコ>まいどあり～！","\n<Ako>Thank you for stopping by~!"
"\n<アーコ>ふーん。","\n<Ako>Hmmph."
"リリー","Lily"
"シィナ","Shina"
"アーコイベ用","アーコイベ用"
"ライム","Lime"
"自動実行カギ","自動実行カギ"
"\n<リリー>あ、シィナあんた。
ちゃんと鍵掛けた？","\n<Lily>Oh Shina, you're back.
Did you lock them up?
"
"\n<シィナ>は？知らんし。","\n<Shina>Huh, me?
Beats me."
"\n<リリー>ちょっと！
しっかりしてよね！
逃げられたらどうすんのよ！","\n<Lily>Whoa whoa whoa!
You need to take this seriously!
What if they got out?"
"\n<リリー>はぁ～～～・・・
ほんとあんたっていっつも・・・","\n<Lily>Sigh....
Why are you always so... so..."
"\n<シィナ>はぁ？
知らんにゃ。
鍵持ってないし。アタシじゃねー！","\n<Shina>Whaa?
I dunno-nya.
I don't have the key. It's not my fault!"
"\n<ライム>私も持ってないよ。","\n<Lime>I don't have a key either."
"\n<リリー>ん？","\n<Lily>Hm?"
"\n<リリー>・・・！！","\n<Lily>...!!"
"\n<リリー>私が持ってた。
・・・
鍵、閉めたっけ？","\n<Lily>I have the key.
...
Did you at least shut the door?"
"\n<シィナ>知らんし。
アホにゃ。","\n<Shina>I dunno.
Why don't you do it yourself-nya."
"\n<ライム>とりあえず、確認しに戻ろっか。
リリー。","\n<Lime>Well for now, let's go back and check,
Lily?"
"\n<シィナ>ごめんなさいは～？","\n<Shina>Now who should be the one apologizing?~"
"\n<リリー>えへっ♥","\n<Lily>Eei♥"
"最初のイベント","最初のイベント"
"\n<ライム>やっぱりね！","\n<Lime>Just as I thought！"
"\n<ライム>逃げる時間そんなにないよなー、って思ってたの。
どこかに隠れてたのかな？
待ってたら来ると思ったよー！","\n<Lime>They couldn't have had much time to escape, I thinks.
Maybe they're hiding somewhere?
If we wait, I'm sure they'll come out!~"
"ーーーーー基本変更点ーーーーー","ーーーーーBasic Changesーーーーー"
"\n<ライム>にへへへへー♥
つーかまーえた♥","\n<Lime>Ehehehehe-♥
Cau~ght you~♥"
"\n<\n[3]>ぬるぬるして動きにくいでしょー。
早く逃げないと白いの出させちゃうぞー？","\n<\n[3]>It's hard to move when you're so slimy, right?
If you don't get away quickly, you're gonna end up
leaking out white stuff you know?"
"\C[3]※捕まるとタイミングバーが表示されます。
\C[0]タイミングよく黄か赤で止めてください。
赤で止めると被ダメージが半減します。","\C[3]※A timing bar will show if you are caught.
\C[0]Time your key press to match either the yellow or red areas.
If you stop in the red area, you will take half damage."
"\n<\n[3]>むにゅー・・・♥
柔らかくて溶けちゃいそうでしょー♥
気持ちいい気持ちいいー♥","\n<\n[3]>Squeeze---...♥
They feel so soft you could melt right?♥
So plush, so pleasureable-♥"
"\n<\n[3]>あれー？もう出ちゃうのー？
おっぱい我慢できなかったー？あはは♥
じゃあ一回だけ、出しちゃおっかー♪","\n<\n[3]>Oh-? Are you gonna squirt already?
Couldn't you resist my boobies? Aha!♥
Alright then, I'm sure you can squirt just a little-♪"
"\n<\n[3]>あっあっ♥おっぱいの間でぴくぴくしてるー♥
おちんちん喜んでくれたみたい♥
うれしー♥","\n<\n[3]>Ahaha♥ I can feel it twitching in my cleavage♥
Your penis seems really happy♥
I'm happy too♥"
"\C[1]SAN値が1下がった・・・（現在SAN値\v[270]）","\C[1]Sanity decreased by 1... (Current Sanity: \v[270]）"
