"自動実行","自動実行",
"リリー","Lily",
"シィナ","Shina",
"アーコイベ用","アーコイベ用",
"ライム","Lime",
"自動実行カギ","自動実行カギ",
"\n<リリー>あ、シィナあんた。
ちゃんと鍵掛けた？","\n<Lily>Oh Shina, you're back.
Did you lock them up?
",
"\n<シィナ>は？知らんし。","\n<Shina>Huh, me?
Beats me.",
"\n<リリー>ちょっと！
しっかりしてよね！
逃げられたらどうすんのよ！","\n<Lily>Whoa whoa whoa!
You need to take this seriously!
What if they got out?",
"\n<リリー>はぁ～～～・・・
ほんとあんたっていっつも・・・","\n<Lily>Sigh....
Why are you always so... so...",
"\n<シィナ>はぁ？
知らんにゃ。
鍵持ってないし。アタシじゃねー！","\n<Shina>Whaa?
I dunno-nya.
I don't have the key. It's not my fault!",
"\n<ライム>私も持ってないよ。","\n<Lime>I don't have a key either.",
"\n<リリー>ん？","\n<Lily>Hm?",
"\n<リリー>・・・！！","\n<Lily>...!!",
"\n<リリー>私が持ってた。
・・・
鍵、閉めたっけ？","\n<Lily>I have the key.
...
Did you at least shut the door?",
"\n<シィナ>知らんし。
アホにゃ。","\n<Shina>I dunno.
Why don't you do it yourself-nya.",
"\n<ライム>とりあえず、確認しに戻ろっか。
リリー。","\n<Lime>Well for now, let's go back and check,
Lily?",
"\n<シィナ>ごめんなさいは～？","\n<Shina>Now who should be the one apologizing?~",
"\n<リリー>えへっ♥","\n<Lily>Eei♥",
"手紙","手紙",
"執事さんって凄いんですよ！
ヒールのかかとが壊れた時も、箒の柄が折れた時も
頼んだらあっさり直しちゃったんです。","執事さんって凄いんですよ！
ヒールのかかとが壊れた時も、箒の柄が折れた時も
頼んだらあっさり直しちゃったんです。",
"工作が趣味なんですって！
何かを作れる人とか、自分で修理できちゃう男の人って
素敵ですよね。","工作が趣味なんですって！
何かを作れる人とか、自分で修理できちゃう男の人って
素敵ですよね。",
