"自動実行","Automatic Event"
"食糧庫ドア","Pantry Door"
"館主","館主"
"猫シィナ","猫シィナ"
"リリー","Lily"
"イベント実行","Event Action"
"\n<シィナ>マーオ！！
（ぶっ殺してやるにゃ！！）","\n<Shina>Meow!
(I'll kill you, nya!!)"
"\n<館主>どうした？
そんなにカワイイ声を出して。
そこから出たいのか？","\n<Master>What's this?
Such a cute little voice.
Do you want to come out?"
"\n<シィナ>シャーッ！！！
（死ねクソ野郎！！）","\n<Shina>Meooow!!!
(Die you son of a bitch!!)"
"\n<館主>やれやれ。
本当にカワイイなお前は。","\n<Master>Oh my.
You are just too cute."
"\n<館主>私はね・・・
富と権力、そして愛。
全てを手に入れたんだよ。","\n<Master>I've got money, power...
And love...
I really have it all."
"\n<館主>帯付きの札束を見せれば女は食いつき、
女を当てがえば男は簡単に懐柔できる。
みんな、すぐに私のことが大好きになるんだ。","\n<Master>Flash a wad of bills, and women flock to me.
It's so simple for a man to get any woman he wants.
Everybody loves me."
"\n<館主>・・・
だが、お前はどうだ？","\n<Master>...
But what about you?"
"\n<館主>私のやった高級カリカリやマグロをたらふく食っておきながら
ちっとも心を許そうとしないじゃないか。","\n<Master>I bought you all the finest crispy tuna you could eat,
and still your heart has not opened up to me."
"\n<館主>ほら、喉を鳴らして足元にすり寄って来い。
他のみんなと同じように、私を愛しておくれ。","\n<Master>Come, curl up purring at my feet.
Love me like everyone else does."
"\n<館主>はぁ～・・・","\n<Master>Ha～…"
"\n<シィナ>にゃふッ！！カッ！カッ！
（げほっ！くせぇ息かけんにゃ！！ペッ！ペッ！）","\n<Shina>Nyaaaah!! Hiss! Hiss!
(Cough! Can't breathe!! Peh! Peh!)"
"\n<館主>珍しい毛色の猫なので
ペットにしてやるのもいいかと考えていたが、これではな。","\n<Master>I thought a cat with a rare coat would
make a good pet, but it would seem not."
"\n<館主>お前はもう\.・\.・\.・\.\.
使ってしまうか。","\n<Master>You may have\..\..\..\.\.
Outlived your usefulness."
"\n<館主>誰だ。
入っていいとは一言も言っていないはずだが。","\n<Master>Who's there?
I did not say you could enter."
"\n<赤髪の淫魔>あれ？
悲鳴とか喘ぎ声とか全然聞こえなかった？
随分と防音がしっかりしてるのね。この部屋は。","\n<Red Haired Succubus>Ahh? You didn't hear any screams or gasps
just now? The soundproofing on this room
must be incredible.。"
"\n<館主>お前は魔物か！？
誰か！！
ガードを呼べ！！","\n<Master>Y-you're a demon!?
Someone!!
Call the guards!!"
"\n<赤髪の淫魔>誰も来ないわよ。
干乾びてるやつ以外は、あんたを置いてみーんな逃げちゃった。
愛されてるのね♥くすくす♥","\n<Red Haired Succubus>Nobody's coming. They've all run away.
Except for the one that I sucked dry.
He's a little lovesick♥ Hee hee♥"
"\n<館主>く・・・
近寄るな！
私を誰だと・・・！！","\n<Master>Kuh...
Keep back!
Do you know who I am...!!"
"\n<赤髪の淫魔>あら、カワイイ猫ちゃん♥
ちっちっちっ♥
おいでおいでー♥","\n<Red Haired Succubus>Ara, what a cute kitty cat♥
Psspsspss♥
C'mere kitty-♥"
"\n<シィナ>んにゃぉ？
（何だコイツ？）","\n<Shina>Nyaaah?
(Who the hell are you?)"
"\n<赤髪の淫魔>あっ！いいこと考えた♥
あんた、私の好みじゃないし、
自分のペットに搾り殺されるって言うのはどーお？","\n<Red Haired Succubus>Ah! I just had an idea♥
So you don't like me. How'd you like to be milked
to death by your own pet instead?"
"\n<シィナ>んにゃ・・・！
何にゃこれ一体！？","\n<Shina>N-nyaah...!
What the hell!?"
"\n<館主>な、何が目的だ。
か・・・金が欲しいのか？
要望を言え。話をしようではないか。","\n<Master>Wh-what's your aim?
D...do you want money? Name your price.
We can talk about this."
"\n<赤髪の淫魔>目的ぃ？
うーん。特に無いかな。
しいて言うなら～・・・","\n<Red Haired Succubus>My aim?
Hmmm. Nothing in particular.
Let's see～…"
"\n<赤髪の淫魔>いや、別に無いわ。ごめんね。","\n<Red Haired Succubus>Nope, I don't need anything. Sorry."
"\n<シィナ>はぁ・・・はぁ・・・
か、身体が熱いにゃぁ・・・！！","\n<Shina>Hah... Hah...
M-my body feels hot...!!"
"\n<館主>ぐお・・・！！
は、離せ・・・！！
やめ・・・！！","\n<Master>Gwaaah...!!
U-unhand me...!!
Stop...!!"
"\n<館主>ぐああああああああぁぁぁぁぁぁあ！！！","\n<Master>Gyaaaaaaaaaaaah!!!"
"\n<シィナ>死ね！！死ね！！","\n<Shina>Die!! Diiiiee!!"
"\n<赤髪の淫魔>それ以上どうやって死ぬのよ。
もうとっくに死んでるわ。","\n<Red Haired Succubus>How much more dead does he need to be?
He died quite a while ago."
"\n<シィナ>はぁ・・・はぁ・・・","\n<Shina>Haah... Haah..."
"\n<赤髪の淫魔>あらら・・・
骨しか残ってないじゃない。
\}服はどこ行ったのよ。","\n<Red Haired Succubus>My my...
Nothing but bones remain.
\}Wonder where the clothes went."
"\n<赤髪の淫魔>どうだった？
初めて人間を搾り尽くした感想は？","\n<Red Haired Succubus>How was it?
How did it feel to drain a human for the first time?"
"\n<シィナ>最悪の気分にゃ。","\n<Shina>That felt terrible, nya."
"\n<シィナ>すぅ～・・・
・・・","\n<Shina>Suck～...
..."
"\n<シィナ>はぁ～・・・","\n<Shina>Haah～..."
"\n<シィナ>なるほど。これがタバコにゃ。
クソ野郎のクソキモい体臭に比べれば確かに・・・
煙の方がずっとマシにゃぁ。","\n<Shina>Nyaaah, I see. So this is a cigarette.
Compared to this piece of shit's body odor...
This smoke smells like a bed of roses, nya."
"\n<赤髪の淫魔>あんたが『可愛がられてるペット』で
『大好きなご主人様を本能に逆らえず襲ってしまう』っていう
悲劇的なシナリオを期待してたんだけど。","\n<Red Haired Succubus>I was sort of hoping for a 'beloved pet' thing.
Like, 'I can't go against my instincts, and attack my precious master',
kind of a tragic screenplay, you know?"
"\n<シィナ>捕まって
無理やり閉じ込められてただけだし。
思い出してもムカツクにゃ。","\n<Shina>They captured me
and forced me into a cage.
Just thinking about it pisses me off, nya."
"\n<赤髪の淫魔>ふふ♥
ま、それはそれで面白いもの見られた。
楽しませてもらったわ。","\n<Red Haired Succubus>Fufu♥
Well, that was quite interesting to watch.
I had quite a lot of fun."
"\n<赤髪の淫魔>じゃあ、そろそろ私は行くわね。
いい暇つぶしになったわ。
さようなら。猫ちゃん。","\n<Red Haired Succubus>Well, I should be going soon.
This has been a lovely diversion.
See you later, kitty cat."
"\n<シィナ>ちょ、ちょっと待つにゃ・・・！！
こんな身体にされて、
アタシはどうやって生きていけば・・・！！","\n<Shina>H-hold on just a moment, nya...!
You're just going to leave me with this body!?
How am I supposed to live like this...!?"
"\n<赤髪の淫魔>知らないわよ。
淫魔なら思うように、好きなことをして過ごしなさい。
みんなそうやって生きてるのよ。","\n<Red Haired Succubus>I don't know.
Just do whatever your heart desires. You're a succubus
now. That's how our kind lives."
"\n<シィナ>そんにゃ！
お前が勝手にこんなにしたんにゃ！
責任取るにゃ！！","\n<Shina>Bullshit!
You did this to me!
Take some damn responsibility, nya!!"
"\n<赤髪の淫魔>ちょっと！なんなのあんた。
普通は淫魔になったら、ひとりで自由にするものなの！","\n<Red Haired Succubus>Now hold on! What do you think you're doing?
Succubi do whatever they want, by themselves!"
"\n<シィナ>責任取るにゃん！！責任取るにゃん！！","\n<Shina>Take responsibility!! Take responsibility, nyan!!"
"\n<赤髪の淫魔>いたたた・・・！
は、離しなさいよ！このバカ猫・・・！！","\n<Red Haired Succubus>Ouuuuch...!!
L-Let go of me! Stupid cat...!!"
"\n<シィナ>だって！だってこんな・・・！
にゃぁぁぁぁぁぁ！！！！","\n<Shina>You did this! You made me like this...!
Nyaaaaaaaaah!!!"
"\n<赤髪の淫魔>の、乗るな！！
うげっ！！","\n<Red Haired Succubus>G-get off!!
Owwww!!"
"\n<シィナ>にゃぁぁぁぁぁぁぁぁぁぁ！！！","\n<Shina>Meoooooooooww!!!"
"\n<赤髪の淫魔>うっとおしいわね！
いい加減にしないさいよ！
ちっ・・・","\n<Red Haired Succubus>Bothersome thing!
Show some respect!
Geez..."
"\n<シィナ>にゃぁぁ・・・","\n<Shina>Nyoooww..."
"\n<シィナ>しくしく・・・","\n<Shina>Sniff..."
"\n<シィナ>こ・・・\.怖かったんにゃ・・・\.\.
ずっとひとりで・・・","\n<Shina>I...\. I was so scared...\.\.
I was always alone..."
"\n<シィナ>置いて\.・\.・\.・\.\.
置いて行かにゃいで\.・\.・\.・","\n<Shina>Don't\..\..\..\.\.
Don't leave me alone\..\..\.."
"\n<赤髪の淫魔>・・・","\n<Red Haired Succubus>..."
"\n<赤髪の淫魔>はぁ・・・\.\.
全く、しょうがないわね。\.
少しだけよ。\.一緒に居てあげる。","\n<Red Haired Succubus>Sigh...\.\.
I guess I've got no other choice.\.
I'll stay with you.\. Just for a little while."
"\n<シィナ>あ、アタシはシィナ！
お前は？","\n<Shina>M-my name's Shina!
What's your name?"
"\n<赤髪の淫魔>名前なんてないわ。
サキュバスだもの。
必要がない・・・","\n<Red Haired Succubus>I don't have a name.
I'm a succubus.
We don't need names..."
"\n<赤髪の淫魔>でも・・・そうね。","\n<Red Haired Succubus>But... I guess..."
"\n<赤髪の淫魔>・・・
（これは・・・黒いユリの紋章・・・）","\n<Red Haired Succubus>...
(This crest... It's a black lily...)"
"\n<赤髪の淫魔>\.・\.・\.・","\n<Red Haired Succubus>\..\..\.."
"\n<赤髪の淫魔>リリー。\.\.
リリーでいいわ。","\n<Red Haired Succubus>Lily.\.\.
Lily will do."
"\n<リリー>私はリリー。
よろしく。シィナ。","\n<Lily>My name is Lily.
Nice to meet you, Shina."
"ケムリ","Smoke"
"タバコ","Tobacco"
"ケムリ２","Smoke 2"
"紙","Paper"
