"自分鉄格子","自分鉄格子"
"開いてた・・・","It opened..."
"ロメアル鉄格子","ロメアル鉄格子"
"MP_SET_MOVIE ロメリア立ち絵アニメ基本2","MP_SET_MOVIE ロメリア立ち絵アニメ基本2"
"MP_SET_LOOP 20 on","MP_SET_LOOP 20 on"
"\n<ロメリア>えっ！？
あにき！？
どうやって外に・・・鉄格子は！？","\n<Meria>Ehh!?
Alsy!?
That was an iron cell...how did you get out!?"
"開いてた","It opened."
"擦ったら摩擦で溶けた","I rubbed it really hard and it melted."
"\n<ロメリア>嘘！
それって・・・鍵を掛け忘れたってコト！？
ラッキー・・・！","\n<Meria>You're joking!
No way...they forgot to lock it!?
What a stroke of luck...!"
"\n<ロメリア>いや、待って。怪しい・・・
罠かもしれない。気を付けてあにき。
あいつら、何か企んでるのかも。","\n<Meria>No, wait. That's too suspicious...
It might be a trap. You should be careful Alsy,
they could be plotting something."
"\n<ロメリア>あれだけ搾られた癖に冗談言うなんて余裕あるね。
さすがあにき。
死んどけ。","\n<Meria>They've been draining you so much, and yet
you can still crack a joke huh? That's my big brother!
Still standing!"
"\n<ロメリア>でもこんなに簡単に出られるなんてなんか怪しくない？
気を付けて。
罠かもしれないよ。","\n<Meria>But don't you think it's weird you could just get out?
Be careful.
It might be some kind of trap."
"MP_SET_MOVIE アルス立ち絵アニメ基本","MP_SET_MOVIE アルス立ち絵アニメ基本"
"\n<アルス>お前・・・！
どうやって出たんだ！？","\n<Alsto>Wha, you...!
How did you get out!?"
"鉄格子を引きちぎった","I broke the bars with my hands."
"\n<アルス>鍵を掛け忘れたのか・・・？
や、やった！
これはチャンスだぞ！","\n<Alsto>Could they have forgotten to lock the cell...?
T-This is it!
This could be our big break!"
"\n<アルス>いや待て。何か怪しいな・・・
こんなに簡単に獲物を逃がすか？
罠かもしれないぞ。気を付けろ。\n[1]。","\n<Alsto>Wait. Something is off...
Could escaping really be that easy?
This could be a trap. Be careful, \n[1]."
"\n<アルス>まさか俺の妹がゴリラだったなんてな。
すまん、この鉄格子も頼む。","\n<Alsto>I had no idea my littler sister was a gorilla!
I hope you don't mind if I trouble you to do this cell too."
"\n<アルス>どうやら俺の鉄格子はお前のところより固いようだな。
サビていたのか・・・？","\n<Alsto>Ah, it seems like the bars of my cell are a bit
tougher. Were yours rusty...?"
"\n<アルス>こんなに簡単に出られるのは逆に怪しいな。
罠かもしれない。
気を付けろ。\n[1]。","\n<Alsto>Being able to get out so easily is suspicious indeed.
It could be a trap.
Be careful, \n[1]."
"\n<リリー>鍵を掛けたかどうか不安な時って結局
ほとんどの場合はちゃんと鍵掛けてるのよね。
無意識にっていうか。","\n<Lily>鍵を掛けたかどうか不安な時って結局
ほとんどの場合はちゃんと鍵掛けてるのよね。
無意識にっていうか。"
"\n<ライム>あるあるー。","\n<Lime>あるあるー。"
"\n<アルス>まずい！あいつらだ！
戻って来た！
どこか隠れられる場所はないか！？","\n<Alsto>まずい！あいつらだ！
戻って来た！
どこか隠れられる場所はないか！？"
"\n<ロメリア>あいつらの声・・・！！
戻って来た！！
どうしようあにき！隠れられる場所とか・・・！","\n<Meria>あいつらの声・・・！！
戻って来た！！
どうしようあにき！隠れられる場所とか・・・！"
"\n<アルス>早く隠れろ！
どこか・・・なんかあるだろ！","\n<Alsto>早く隠れろ！
どこか・・・なんかあるだろ！"
