"自動実行","Automatic action"
"EV002","EV002"
"ロメリア","Romeria"
"イベント実行","Event action"
"\n<ロメリア>あにき・・・
無事でよかった・・・ホントに。
助けに来てくれてありがとう・・・","\n<Meria>Brother...
I'm so glad you're safe... Really...
Thank you for rescuing me..."
"\n<ロメリア>あにきが来てくれなかったら私・・・
きっと耐えられなかった。","\n<Meria>If you hadn't come for me...
I never would have made it on my own."
"\n<ロメリア>ううん・・・
絶対壊れてた。
すごく怖かったし、なのに今でも・・・","\n<Meria>Ummm...
I was completely broken down.
I was so terrified, and yet..."
"\n<ロメリア>・・・","\n<Meria>..."
"\n<ロメリア>よし！","\n<Meria>That's it!"
"\n<ロメリア>美味しいご飯！
作ってあげる！
私、うんと頑張るから！だから・・・","\n<Meria>A delicious feast!
I'll cook for you!
I have to stay strong! So..."
"\n<ロメリア>・\.・\.・\.\.
帰ろう。\.あにき。\.\.
私たちの家に。","\n<Meria>.\..\..\.\.
Let's go.\.Big brother.\.\.
Back to our home."
"\n<\n[1]>そうだな。\.\.
・\.・\.・\.\.
帰ろう。\.ロメリア。","\n<\n[1]>Right.\.\.
.\..\..\.\.
Let's go home. \.Meria."
"ED2　サキュバスハンター","ED2　Succubus Hunter"
"\n<アルス>よく頑張ったな・・・\n[1]。
ありがとう。
お前がいなかったら俺は・・・","\n<Alsto>You were incredible... \n[1].
Thank you.
If it hadn't been for you, I'd be..."
"\n<アルス>お前はもう立派なハンターだ。
俺なんかより、よっぽど凄いぜ。","\n<Alsto>You're a top-notch hunter.
Much greater than me."
"\n<アルス>助けに来たつもりが、逆に助けられるなんてな。
兄貴の威厳、丸つぶれだぜ。
元より、そんなものなかったかもしれないけどな！","\n<Alsto>I came here to help you, but the exact opposite happened.
I've lost all dignity as a big brother.
Or maybe I never had any in the first place!"
"\n<アルス>しかし、変なやつらだったな。
淫魔が群れて行動するなんて。
それに・・・","\n<Alsto>Anyway, weren't those 3 strange?
I've never known succubi to work in groups.
And also..."
"\n<\n[1]>・・・","\n<\n[1]>..."
"\n<アルス>・・・","\n<Alsto>..."
"\n<アルス>いや、何でもない。\.\.
家に・・・帰ろう。
\n[1]。","\n<Alsto>No, it's probably nothing.\.\.
Let's go... Back to our home.
\n[1]."
"\n<\n[1]>うん。\.\.
\.・\.・\.・\.\.
帰ろう。","\n<\n[1]>Yeah.\.\.
\..\..\..\.\.
Let's go home."
"アルス","Alsto"
