"ロメリア","ロメリア"
"アルス","アルス"
"アーコ","アーコ"
"イベント実行","イベント実行"
"\n<アーコ>よし！
リリーにバレる前に、ここから逃げよ！
サンタ！ロープありがと！","\n<Ako>Right!
Let's get out of here before Lily finds us!
Santa! Thank you so much for the rope!"
"\n<サンタ>これぐらいの高さも飛び降りられないなんて
人間ってどんくさいよね。
気を付けて降りてよ。","\n<Santa>It's rather pathetic that humans cannot
jump down from this height.
Take care on your way down."
"\n<アルス>すまんアーコ。
お前も他の淫魔と同じだと思ってた。
助けてくれてありがとう。白猫も。","\n<Alsto>I'm so sorry, Ako.
I pegged you to be the same as the other succubi.
Thank you for saving us. And you, white cat."
"\n<ロメリア>ごめんアーコ。
私、アーコのこと他の悪い淫魔と同じだと思ってた。
助けてくれてありがとう。サンタも！","\n<Meria>I'm so sorry, Ako.
I assumed you were just the same as the other succubi.
Thank you for rescuing us. Santa too!"
"\n<アーコ>お礼は無事に逃げ切ってからね！
お金でいいよ！
100000Gでいいから！","\n<Ako>Save your thanks for after we escape safely!
Cash is acceptable!
100000G should be good!"
"\n<アルス>100000！？
・・・
ちくしょー！払う！","\n<Alsto>100000!?
...
You bastard! You're charging us!?"
"\n<ロメリア>100000G・・・！？
・・・
しばらくもやしで生活するしかないね。あにき。","\n<Meria>100000G...!?
...
I suppose we'll have to live off of bean sprouts for a while..."
"\n<サンタ>ボクはカリカリでいいよ。
最高級のやつね。","\n<Santa>I accept crunchy cat treats.
Only the highest quality brands."
"サンタ",
"\n<サンタ>やぁこんにちは。
ボク、白猫のサンタ。
人間がここに居るなんて珍しいね。","\n<Santa>Good afternoon.
I'm Santa, the white cat.
It's unusual to see a human around here."
"\n<サンタ>なんで驚いてんの？
猫だって喋るさ。","\n<Santa>Why are you so surprised?
Cats can talk too."
"\n<サンタ>ところでアーコ知らない？
帰りが遅いから心配して見に来たんだけど、
どこも閉め切ってて入れなくてさ。","\n<Santa>By the way, do you know Ako?
She was late coming home, so I got worried and
came to check on her. I found all the exits sealed off."
"\n<サンタ>脱出ゲームかぁ。
それで閉じ込められてたんだ。
なんだか大変そうだね。","\n<Santa>Escape game, hmm.
So you're both locked in here.
That's a bit of a problem."
"\n<サンタ>あ、そうそう。
さっきそこの下で鍵拾ったからあげる。
何の鍵か分からないけど。","\n<Santa>Ah, that's right.
I picked up a key down there a little while ago.
I don't know what it's for."
"\n<サンタ>じゃ、脱出頑張ってね。
無事なら別に会わなくていいや。
アーコによろしく言っておいてー。","\n<Santa>Well, best of luck escaping.
If you manage to get out safe, don't wait up for me.
Please give Ako my regards."
"\n<サンタ>逃げたいからって、
ここから飛び降りるのはやめておいた方がいいよ。
ボクは猫だから平気だけど、キミはちゃんとカルシウム取ってる？","\n<Santa>If you're trying to escape, I wouldn't advise
jumping from here. I'm a cat, so I have no problem, but...
Well... How is your calcium intake?"
