"降竜剣","Dragon Sword"
"ドラゴンの力を纏わせた大剣
斬撃　3方向短　隙45　貫通","A large sword with the power of a dragon
Slashing 3 directions short gap 45 penetration"
"<shotWay:3>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:801>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:801>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>"
"お皿フリスビー","Plate frisbee"
"ひびが入って使い物にならない皿
打撃　2方向長　隙40","A dish that is cracked and unusable
Blow 2-way length gap 40"
"<shotWay:2>
<shotSpace:0.3>
<shotCount:30>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:4>
<shotIndex:17>
<shotSkill:807>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:2>
<shotSpace:0.3>
<shotCount:30>
<shotSpeed:0.3>
<shotInterval:40>
<shotType:4>
<shotIndex:17>
<shotSkill:807>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:150>"
"リンゴ","Apple"
"当たると痛い
打撃　1方向長　隙40","It hurts when hit
Blow 1 direction long gap 40"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:799>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:799>
<shotSeName:Wind7>"
"失敗作","Failure work"
"錬金に失敗して出来た身体に悪そうな薬
水　1方向長　隙35","A drug that seems to be harmful to the body made by failing alchemy
Water 1 direction long gap 35"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:35>
<shotType:3>
<shotIndex:25>
<shotSkill:804>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:35>
<shotType:3>
<shotIndex:25>
<shotSkill:804>
<shotSeName:Wind7>"
"ハリルの剣","Haril's sword"
"亡き父の愛用した剣　よく手入れされている
斬撃　2方向短　隙40　貫通","The sword used by his late father is well maintained
Slashing 2-way short gap 40 penetration"
"<shotWay:2>
<shotSpace:0.1>
<shotCount:15>
<shotSpeed:0.25>
<shotInterval:40>
<shotType:4>
<shotIndex:34>
<shotSkill:817>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:2>
<shotSpace:0.1>
<shotCount:15>
<shotSpeed:0.25>
<shotInterval:40>
<shotType:4>
<shotIndex:34>
<shotSkill:817>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>"
"ベアスロー","Bear throw"
"クマリを投げる
打撃　1方向長　隙120","Throw Kumari
Hitting 1 direction long gap 120"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:60>
<shotSpeed:0.15>
<shotInterval:120>
<shotType:4>
<shotIndex:22>
<shotSkill:803>
<shotSeName:Wind7>","<shotWay:1>
<shotSpace:0.3>
<shotCount:60>
<shotSpeed:0.15>
<shotInterval:120>
<shotType:4>
<shotIndex:22>
<shotSkill:803>
<shotSeName:Wind7>"
"試験管","Test tube"
"毒薬を詰めた試験管をばらまく
水　5方向長　隙60","Disperse test tubes filled with poison
Water 5 directions long gap 60"
"<shotWay:5>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:29>
<shotSkill:804>","<shotWay:5>
<shotSpace:0.3>
<shotCount:40>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:29>
<shotSkill:804>"
"踊り子の扇子","Dancer fan"
"踊りながら扇子をばらまく
誘惑　9方向長　隙100","Scatter the fan while dancing
Temptation 9 directions long gap 100"
"<shotWay:9>
<shotSpace:0.7>
<shotCount:40>
<shotSpeed:0.1>
<shotInterval:100>
<shotType:3>
<shotIndex:39>
<shotSkill:806>","<shotWay:9>
<shotSpace:0.7>
<shotCount:40>
<shotSpeed:0.1>
<shotInterval:100>
<shotType:3>
<shotIndex:39>
<shotSkill:806>"
"スカーレットリップ","Scarlet trip"
"投げキッスで敵を興奮させる
誘惑　2方向　隙30","Excite the enemy with a throwing kiss
Temptation 2 directions gap 30"
"<shotWay:2>
<shotSpace:0.5>
<shotCount:40>
<shotSpeed:0.1>
<shotInterval:30>
<shotType:3>
<shotIndex:40>
<shotSkill:806>
<shotSeName:lip00>","<shotWay:2>
<shotSpace:0.5>
<shotCount:40>
<shotSpeed:0.1>
<shotInterval:30>
<shotType:3>
<shotIndex:40>
<shotSkill:806>
<shotSeName:lip00>"
"～斬撃系武器～","~ Slashing weapons ~"
"フェザーソード","Feather sword"
"羽のように軽い剣
斬撃　3方向長　隙30","A sword as light as a feather
Slashing 3 directions long gap 30"
"<shotWay:3>
<shotSpace:0.5>
<shotCount:30>
<shotSpeed:0.3>
<shotInterval:45>
<shotType:4>
<shotIndex:36>
<shotSkill:811>
<shotSeName:Sword4>","<shotWay:3>
<shotSpace:0.5>
<shotCount:30>
<shotSpeed:0.3>
<shotInterval:45>
<shotType:4>
<shotIndex:36>
<shotSkill:811>
<shotSeName:Sword4>"
"鉄の剣","Iron sword"
"サントリナ製の安物量産品
斬撃　3方向短　隙45　貫通","Cheap mass-produced products made in Santolina
Slashing 3 directions short gap 45 penetration"
"<shotWay:3>
<shotSpace:0.4>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:801>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:3>
<shotSpace:0.4>
<shotCount:20>
<shotSpeed:0.2>
<shotInterval:45>
<shotType:4>
<shotIndex:35>
<shotSkill:801>
<shotSeName:Sword4>
<shotSeVolume:70>
<shotSePitch:150>"
"果物ナイフ","Fruit Knife"
"リンゴの皮を向くナイフ
斬撃　1方向長　隙30","A knife used to cut fruit.
Slashing. 30% crit chance."
"<shotWay:1>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.5>
<shotInterval:30>
<shotType:3>
<shotIndex:0>
<shotSkill:802>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:150>","<shotWay:1>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.5>
<shotInterval:30>
<shotType:3>
<shotIndex:0>
<shotSkill:802>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:150>"
"設置型爆弾","Stationary bomb"
"敵が踏むと爆発する爆弾
炎　設置　隙50","A bomb that explodes when an enemy steps on it
Flame installation gap 50"
"<shotWay:1>
<shotSpace:0.5>
<shotCount:200>
<shotSpeed:0.0>
<shotInterval:50>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>","<shotWay:1>
<shotSpace:0.5>
<shotCount:200>
<shotSpeed:0.0>
<shotInterval:50>
<shotType:3>
<shotIndex:36>
<shotSkill:808>
<shotSeName:key>"
"ピアノ","piano"
"ピアノは打楽器
打撃　1方向短　隙200","Piano is a percussion instrument
Blow 1 direction short gap 200"
"<shotWay:1>
<shotSpace:0.15>
<shotCount:60>
<shotSpeed:0.10>
<shotInterval:200>
<shotType:5>
<shotIndex:17>
<shotSkill:809>
<shotSeName:chest1>","<shotWay:1>
<shotSpace:0.15>
<shotCount:60>
<shotSpeed:0.10>
<shotInterval:200>
<shotType:5>
<shotIndex:17>
<shotSkill:809>
<shotSeName:chest1>"
"投げ槍","Javelin"
"適当に投げてはいけない
斬撃　1方向長　隙60　貫通","Don't throw properly
Slashing 1-way long gap 60 penetration"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:30>
<shotSpeed:0.25>
<shotInterval:60>
<shotType:4>
<shotIndex:6>
<shotSkill:813>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:30>
<shotSpeed:0.25>
<shotInterval:60>
<shotType:4>
<shotIndex:6>
<shotSkill:813>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>"
"光の槍","Spear of light"
"サテライトレーザー！
炎　1方向長　隙60","Satellite laser!
Flame 1-way long gap 60"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.4>
<shotInterval:45>
<shotType:5>
<shotIndex:7>
<shotSkill:812>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>","<shotWay:1>
<shotSpace:0.3>
<shotCount:20>
<shotSpeed:0.4>
<shotInterval:45>
<shotType:5>
<shotIndex:7>
<shotSkill:812>
<shotSeName:Sword5>
<shotSeVolume:70>
<shotSePitch:50>"
"ユビフエール","Ubifueru"
"一時的に指が2、3本増える薬
味方に当てると一時的に球数が増える","A drug that temporarily increases the number of fingers by a few
If you hit an ally, the number of balls will increase temporarily"
"<shotWay:1>
<shotSpace:0.3>
<shotCount:100>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:815>","<shotWay:1>
<shotSpace:0.3>
<shotCount:100>
<shotSpeed:0.2>
<shotInterval:40>
<shotType:3>
<shotIndex:34>
<shotSkill:815>"
"ビッグクマリ","Big Kumari"
"クマリが巨大化して敵を切り刻む
斬撃　1方向短い　隙200","Kumari becomes huge and chops the enemy
Slashing 1 direction short gap 200"
"<shotWay:1>
<shotSpace:0.2>
<shotCount:30>
<shotSpeed:0.1>
<shotInterval:200>
<shotType:5>
<shotIndex:23>
<shotSkill:805>
<shotSeName:Monster6>","<shotWay:1>
<shotSpace:0.2>
<shotCount:30>
<shotSpeed:0.1>
<shotInterval:200>
<shotType:5>
<shotIndex:23>
<shotSkill:805>
<shotSeName:Monster6>"
"火の魔導書没","Fire spellbook death"
"ぷちファイアの魔法が使えるようになる超初級魔導書
炎　2方向短　隙45","A super-beginner spellbook that allows you to use the magic of Petit Fire
Flame 2-way short gap 45"
