"テスト回復","test recovery",""
"薄いミントの匂い
精力を30％ + 200回復する","Smells lightly of mint.
Restores 30% + 200 vigor.",""
"テスト体力回復","Test physical recovery",""
"薄いオレンジの味
体力を30％ + 20回復する","Tastes lightly of orange.
Restores 30% + 20 of your HP.",""
"ディスペルハーブ","Dispelling Herb",""
"2000ダメージ薬","2000 Damage Drug",""
"使用すると2000分気持ちよくなるお薬
2000ダメージ与える","A drug that makes you feel good for 2000 minutes when used.
It deAlsto 2000 damage.",""
"4000ダメージ薬","4000 Damage Drug",""
"使用すると4000分気持ちよくなるお薬
4000ダメージ与える","A drug that makes you feel good for 4000 minutes when used.
It deAlsto 4000 damage.",""
"8000ダメージ薬","8000 Damage Drug",""
"使用すると8000分気持ちよくなるお薬
8000ダメージ与える","A drug that makes you feel good for 8,000 minutes when used.
It deAlsto 8000 damage.",""
"敵4000回復薬","Enemy 4000 recovery Pill",""
"使用すると4000分すっきりするお薬
相手が4000回復する","A medicine that, when used, is refreshing for 4000 minutes.
The other party will be healed for 4000 health.",""
"テスト毒薬","test drug",""
"敵用催淫毒をかける","Apply Enemy Aphrosdisiac Poison",""
"900000ダメージ薬","900,000 Damage Drug",""
"使用すると900000分気持ちよくなるお薬
900000ダメージ与える","A medicine that makes you feel good for 90,0000 minutes when used.
It deAlsto 90,0000 damage.",""
"～回復アイテム～","~Recovery Items~",""
"精力剤","Tonic",""
"薄いミントの匂い
精力30％+200回復","Smells lightly of mint.
Restores 30% + 200 points of vitality.",""
"<mat1:I71*1>
<matG:10>","<mat1:I71*1>
<matG:10>",""
"精力剤α","Energizer α","Energizer a"
"ミントの匂い
精力50％+200回復","Smells like mint.
Restores 50% + 200 points of vitality.",""
"<mat1:I71*2>
<matG:10>","<mat1:I71*2>
<matG:10>",""
"精力剤β","Energizer β",""
"濃いミントの匂い
精力70％+200回復","Smells strongly of mint.
Restores 70% +200 points of vitality.",""
"<mat1:I71*3>
<matG:10>","<mat1:I71*3>
<matG:10>",""
"精力剤γ","Energizer γ",""
"ミントよりミントの匂い
精力全回復","Smells even mintier than mint.
Fully restores vitality.",""
"<mat1:I71*3>
<mat2:I73*1>
<matG:10>","<mat1:I71*3>
<mat2:I73*1>
<matG:10>",""
"体力回復薬","Restorative",""
"薄いオレンジの味
体力30％+5回復","Tastes mildly like oranges.
Restores 30% +5 of HP.",""
"<mat1:I72*1>
<matG:10>","<mat1:I72*1>
<matG:10>",""
"体力回復薬α","Restorative α",""
"オレンジの味
体力50％+5回復","Tastes like oranges.
Restores 50% +5 of HP.",""
"<mat1:I72*2>
<matG:10>","<mat1:I72*2>
<matG:10>",""
"体力回復薬β","Restorative β",""
"濃いオレンジの味
体力70％回復","Tastes strongly of oranges.
Restores 70% of HP.",""
"<mat1:I72*3>
<matG:10>","<mat1:I72*3>
<matG:10>",""
"体力回復薬γ","Restorative γ",""
"わざとらしいオレンジの味
体力全回復","Overwhelmingly orange flavored.
Fully restores HP.",""
"<mat1:I72*3>
<mat2:I73*1>
<matG:10>","<mat1:I72*3>
<mat2:I73*1>
<matG:10>",""
"薬草ジュース","Herbal Juice",""
"薬草をすり潰して飲みやすく味付けしたもの
精力体力30％回復","Ground and flavored medicinal herbs which are easy to drink.
Restores 30% vitality and HP.",""
