"リリーイベ","リリーイベ"
"シィナイベ","シィナイベ"
"ライムイベ","ライムイベ"
"アーコ","アーコ"
"サンタ","サンタ"
"イベント実行","イベント実行"
"\n<アーコ>もしもーし。誰かいるー？","\n<アーコ>もしもーし。誰かいるー？"
"\n<サンタ>やめなよアーコ。
ミスト屋敷だよ。噂の。
まともな人がいるわけないじゃん。","\n<サンタ>やめなよアーコ。
ミスト屋敷だよ。噂の。
まともな人がいるわけないじゃん。"
"\n<アーコ>何言ってんの。
あたしはまともじゃない人に会いに来たんだから。
お金持ちにまともな人なんていないの。","\n<アーコ>何言ってんの。
あたしはまともじゃない人に会いに来たんだから。
お金持ちにまともな人なんていないの。"
"\n<サンタ>捕まって食われても知らないから。","\n<サンタ>捕まって食われても知らないから。"
"\n<アーコ>すいませーん！もしもーし！
誰かー！！","\n<アーコ>すいませーん！もしもーし！
誰かー！！"
"\n<アーコ>\{だーれーかー！！","\n<アーコ>\{だーれーかー！！"
"\n<シィナ>突然オラァ！！
うるっせーぞ！！
誰にゃ！！","\n<シィナ>突然オラァ！！
うるっせーぞ！！
誰にゃ！！"
"\n<アーコ>ぐぇ・・・！！
な、なに・・・！？
淫魔ぁ・・・！？","\n<アーコ>ぐぇ・・・！！
な、なに・・・！？
淫魔ぁ・・・！？"
"\n<シィナ>にゃぁん！？
お前だって淫魔じゃねーか！
何しに来た・・・","\n<シィナ>にゃぁん！？
お前だって淫魔じゃねーか！
何しに来た・・・"
"\n<シィナ>って・・・
サンタ？","\n<シィナ>って・・・
サンタ？"
"\n<サンタ>えっ？ボクのこと知ってるの？","\n<サンタ>えっ？ボクのこと知ってるの？"
"\n<シィナ>いやいや、サンタにゃん。
知ってるも何も・・・","\n<シィナ>いやいや、サンタにゃん。
知ってるも何も・・・"
"\n<シィナ>あぁ、アタシにゃ。シィナ。
そうか。
このナリじゃ分かわらんにゃ。","\n<シィナ>あぁ、アタシにゃ。シィナ。
そうか。
このナリじゃ分かわらんにゃ。"
"\n<サンタ>シィ・・・ナ？","\n<サンタ>シィ・・・ナ？"
"\n<アーコ>シィナ！？
アーコ！！あたしアーコ！！
アーコアーコアーコ！！！","\n<アーコ>シィナ！？
アーコ！！あたしアーコ！！
アーコアーコアーコ！！！"
"\n<シィナ>はぁ？
あーこぉ？
どーなってるにゃ？","\n<シィナ>はぁ？
あーこぉ？
どーなってるにゃ？"
"\n<サンタ>急に見なくなったと思ったら・・・
まさか淫魔になってたなんて・・・","\n<サンタ>急に見なくなったと思ったら・・・
まさか淫魔になってたなんて・・・"
"\n<アーコ>無事でよかったぁ・・・！
てっきりどこかで野垂れ死んでるのかと思ってたぁ・・・","\n<アーコ>無事でよかったぁ・・・！
てっきりどこかで野垂れ死んでるのかと思ってたぁ・・・"
"\n<シィナ>勝手に殺すにゃ！","\n<シィナ>勝手に殺すにゃ！"
"\n<サンタ>何かあったんじゃないかって、みんな心配してたんだよ。
まぁ、本当に何かあったみたいだけど。
どうしたのそれ。","\n<サンタ>何かあったんじゃないかって、みんな心配してたんだよ。
まぁ、本当に何かあったみたいだけど。
どうしたのそれ。"
"\n<アーコ>あぁ～・・・♥
しぃにゃん生きてたぁ・・・
よかったぁ・・・♥ぐすん。","\n<アーコ>あぁ～・・・♥
しぃにゃん生きてたぁ・・・
よかったぁ・・・♥ぐすん。"
"\n<シィナ>しぃにゃんって呼ぶな！
コロスゾ！","\n<シィナ>しぃにゃんって呼ぶな！
コロスゾ！"
"\n<サンタ>あはは。
まさか、お金持ちよりまともじゃないやつが出て来るとはね。","\n<サンタ>あはは。
まさか、お金持ちよりまともじゃないやつが出て来るとはね。"
"\n<リリー>じゃ、そのメモに書いてるもの、よろしくね。
助かるわ。","\n<リリー>じゃ、そのメモに書いてるもの、よろしくね。
助かるわ。"
"\n<アーコ>あたしもお宝貰って帰ってるから。
win-win！
商売はどっちも得しなきゃね！","\n<アーコ>あたしもお宝貰って帰ってるから。
win-win！
商売はどっちも得しなきゃね！"
"\n<アーコ>（ただしより多くの得をするのはあたし。）","\n<アーコ>（ただしより多くの得をするのはあたし。）"
"\n<リリー>あ、ちょっといい？","\n<リリー>あ、ちょっといい？"
"\n<アーコ>恋愛もの？本？","\n<アーコ>恋愛もの？本？"
"\n<リリー>ちょっと・・・！
声・・・！おっきい！！","\n<リリー>ちょっと・・・！
声・・・！おっきい！！"
"\n<アーコ>いいよ。
分かった。
良さそうなのあったら買ってくる。","\n<アーコ>いいよ。
分かった。
良さそうなのあったら買ってくる。"
"\n<リリー>まぁ、別に無理にとは言わないわ。
もしあったらね。
そんなに、欲しいわけじゃないし。","\n<リリー>まぁ、別に無理にとは言わないわ。
もしあったらね。
そんなに、欲しいわけじゃないし。"
"\n<アーコ>リリーってそういうのが好きなの？","\n<アーコ>リリーってそういうのが好きなの？"
"\n<リリー>はぁ？何言ってんのよ。
勉強よ。
淫魔たるもの、常に人間の生態を把握しておかないと。","\n<リリー>はぁ？何言ってんのよ。
勉強よ。
淫魔たるもの、常に人間の生態を把握しておかないと。"
"\n<アーコ>ふーん。","\n<アーコ>ふーん。"
"\n<リリー>あんたも淫魔なら金金言ってないで
人間のひとりでも搾り尽くしてきなさいよね。
まったく・・・","\n<リリー>あんたも淫魔なら金金言ってないで
人間のひとりでも搾り尽くしてきなさいよね。
まったく・・・"
"\n<アーコ>なんで怒ってんの？","\n<アーコ>なんで怒ってんの？"
"\n<リリー>怒ってないわよ！
あんたマジでやり辛いわね。
いいから早く行きなさいよ。じゃあね！","\n<リリー>怒ってないわよ！
あんたマジでやり辛いわね。
いいから早く行きなさいよ。じゃあね！"
"\n<アーコ>おっけー。
じゃあメモのやつと、恋愛系の小説ね！
ばいばーい！","\n<アーコ>おっけー。
じゃあメモのやつと、恋愛系の小説ね！
ばいばーい！"
"\n<リリー>\{復唱すんなっつってんのよ！！","\n<リリー>\{復唱すんなっつってんのよ！！"
"\n<ライム>じゃあ、食材お願いしまーす！
アーコちゃん。気を付けて帰ってねー♥","\n<ライム>じゃあ、食材お願いしまーす！
アーコちゃん。気を付けて帰ってねー♥"
"\n<アーコ>ねぇねぇ。
ライムはどうして人間にご飯を作るの？
料理も凄く上手だし。","\n<アーコ>ねぇねぇ。
ライムはどうして人間にご飯を作るの？
料理も凄く上手だし。"
"\n<ライム>美味しい物食べて、健康でいてくれた方が
いい精子出るでしょー？
それに美味しい方が、美味しくていいよねー。私も食べるし。","\n<ライム>美味しい物食べて、健康でいてくれた方が
いい精子出るでしょー？
それに美味しい方が、美味しくていいよねー。私も食べるし。"
"\n<アーコ>それだけ？","\n<アーコ>それだけ？"
"\n<ライム>・・・？
そうだけどー・・・どうして？","\n<ライム>・・・？
そうだけどー・・・どうして？"
"\n<アーコ>ライムにとって、人間は養豚場の豚と同じってこと？","\n<アーコ>ライムにとって、人間は養豚場の豚と同じってこと？"
"\n<ライム>うーん・・・豚さんも美味しいよねー！
揚げたてのトンカツなんか
じゅわーって肉汁と油が口の中に広がって・・・","\n<ライム>うーん・・・豚さんも美味しいよねー！
揚げたてのトンカツなんか
じゅわーって肉汁と油が口の中に広がって・・・"
"\n<アーコ>いや、そういうつもりで聞いたわけじゃ・・・","\n<アーコ>いや、そういうつもりで聞いたわけじゃ・・・"
"\n<ライム>もうほっぺが溶けちゃいそうなぐらい♥
本当に溶けてるんだけどー♥
ソースもいいけど、まずは塩とわさびでー・・・","\n<ライム>もうほっぺが溶けちゃいそうなぐらい♥
本当に溶けてるんだけどー♥
ソースもいいけど、まずは塩とわさびでー・・・"
"\n<アーコ>（ライムならって思ったけど・・・
やっぱり、あたしがおかしいんだろうな。
淫魔と人間が仲良くしようなんて。）","\n<アーコ>（ライムならって思ったけど・・・
やっぱり、あたしがおかしいんだろうな。
淫魔と人間が仲良くしようなんて。）"
"\n<ライム>ひょっとして、人間さんも揚げたら美味しいのかな？","\n<ライム>ひょっとして、人間さんも揚げたら美味しいのかな？"
"\n<アーコ>怖いよ！！","\n<アーコ>怖いよ！！"
