"シィナ","Shina"
"アーコ","アーコ"
"サンタ","サンタ"
"イベント実行","イベント実行"
"\n<アーコ>にゃぉー？
（シィナ、またゴミ漁ってんの？）","\n<アーコ>にゃぉー？
（シィナ、またゴミ漁ってんの？）"
"\n<シィナ>んにゃぁ・・・
（あぁ、うっとおしいのが来た。）","\n<シィナ>んにゃぁ・・・
（あぁ、うっとおしいのが来た。）"
"\n<アーコ>にゃん、にゃぁー。
（そんなもの食べてたらお腹壊すよ。）","\n<アーコ>にゃん、にゃぁー。
（そんなもの食べてたらお腹壊すよ。）"
"\n<シィナ>んにゃーん。にゃぁぁ・・・
（うっせーな。お前が思うより健康だし。）","\n<シィナ>んにゃーん。にゃぁぁ・・・
（うっせーな。お前が思うより健康だし。）"
"\n<アーコ>にゃぁーぁ。にゃ。
（人間に甘えたらすぐお腹いっぱいになれるのに。）","\n<アーコ>にゃぁーぁ。にゃ。
（人間に甘えたらすぐお腹いっぱいになれるのに。）"
"\n<シィナ>にゃ？にゃぁぁぁん？
（は？そんなことするぐらいなら毛玉食ってる方がマシだし。）","\n<シィナ>にゃ？にゃぁぁぁん？
（は？そんなことするぐらいなら毛玉食ってる方がマシだし。）"
"\n<アーコ>にゃぁ、にゃ？
（毛玉は吐くもの。食べるものじゃないよ。）","\n<アーコ>にゃぁ、にゃ？
（毛玉は吐くもの。食べるものじゃないよ。）"
"\n<シィナ>んんんにゃ。
（お前には関係ねーだろ。ほっとけよ。）","\n<シィナ>んんんにゃ。
（お前には関係ねーだろ。ほっとけよ。）"
"\n<お父さん>アーコー？ご飯だぞー！
帰ってこーい！アーコー？","\n<お父さん>アーコー？ご飯だぞー！
帰ってこーい！アーコー？"
"\n<アーコ>にゃーん♥
（はーい♥）","\n<アーコ>にゃーん♥
（はーい♥）"
"\n<シィナ>にゃぁ・・・
（お前には猫としてのプライドとかないんか。
人間なんかに媚びへつらいやがって。）","\n<シィナ>にゃぁ・・・
（お前には猫としてのプライドとかないんか。
人間なんかに媚びへつらいやがって。）"
"\n<アーコ>にゃ、にゃぁん。
（プライドでお腹は膨れないからね。
賢く生きなきゃ。）","\n<アーコ>にゃ、にゃぁん。
（プライドでお腹は膨れないからね。
賢く生きなきゃ。）"
"\n<アーコ>にゃん。
（はいこれ。お裾分け。）","\n<アーコ>にゃん。
（はいこれ。お裾分け。）"
"\n<シィナ>にゃぁぁ！！
（要るか！余計なことすんな！消えろ！）","\n<シィナ>にゃぁぁ！！
（要るか！余計なことすんな！消えろ！）"
"\n<アーコ>にゃんにゃん。
（はいはい。じゃあね、しぃにゃん。）","\n<アーコ>にゃんにゃん。
（はいはい。じゃあね、しぃにゃん。）"
"\n<シィナ>んにゃ・・・
（ちっ・・・）","\n<シィナ>んにゃ・・・
（ちっ・・・）"
"\n<シィナ>んにゃんにゃ・・・
（美味いな。）","\n<シィナ>んにゃんにゃ・・・
（美味いな。）"
"\n<アーコ>にゃぁ。
（食べてんじゃん。）","\n<アーコ>にゃぁ。
（食べてんじゃん。）"
"\n<シィナ>にゃーぁ。
（ここにたまたま落ちてたからな。）","\n<シィナ>にゃーぁ。
（ここにたまたま落ちてたからな。）"
"\n<シィナ>かふ・・・かふ・・・
（アーコは毎日、こんな美味い物食ってんのか。）","\n<シィナ>かふ・・・かふ・・・
（アーコは毎日、こんな美味い物食ってんのか。）"
"\n<シィナ>かふ・・・かふ・・・
（・・・）","\n<シィナ>かふ・・・かふ・・・
（・・・）"
"\n<？？？>おや？この猫は・・・
あまり見ない模様の猫だな。","\n<？？？>おや？この猫は・・・
あまり見ない模様の猫だな。"
"\n<？？？>かわい子ちゃーん。
おいでおいでー。ちっちっちっ。","\n<？？？>かわい子ちゃーん。
おいでおいでー。ちっちっちっ。"
"\n<シィナ>・・・
（賢く生きる・・・か。）","\n<シィナ>・・・
（賢く生きる・・・か。）"
"\n<シィナ>にゃーん♥
（ご飯ちょーだい♥）","\n<シィナ>にゃーん♥
（ご飯ちょーだい♥）"
"\n<？？？>おーよしよし。","\n<？？？>おーよしよし。"
"\n<？？？>よっと！！
捕まえた！！","\n<？？？>よっと！！
捕まえた！！"
"\n<シィナ>にゃ！！！
（なんだこいつ！！離しやがれ！！）","\n<シィナ>にゃ！！！
（なんだこいつ！！離しやがれ！！）"
"\n<？？？>こらこら暴れるな！
館主様は珍しい物が好きだからな。お喜びになるぞー。
これで俺の給料も爆上げだ！","\n<？？？>こらこら暴れるな！
館主様は珍しい物が好きだからな。お喜びになるぞー。
これで俺の給料も爆上げだ！"
"\n<シィナ>にゃあ！！！にゃぁ！！！
（やめろ！！くそ！！）","\n<シィナ>にゃあ！！！にゃぁ！！！
（やめろ！！くそ！！）"
"\n<シィナ>にゃあおおお！！
（離せぇぇぇぇ！！）","\n<シィナ>にゃあおおお！！
（離せぇぇぇぇ！！）"
"かりかり","かりかり"
