"スイーパーA","スイーパーA"
" <enemy:111>"," <enemy:111>"
"nwayAim 1 40 0 0.2 100 4 39 791","nwayAim 1 40 0 0.2 100 4 39 791"
"ーーーーーー基礎ヤラレモーションーーーーーー",""
"0ちーんｗ 1倒れ 2ばたんきゅ 3溶ける 4燃える
5射精 6吹っ飛ばす 7逃げこけ　8潰れる",""
"スイーパー","スイーパー"
"自動実行","自動実行"
"やみいち","やみいち"
" <enemy:99>"," <enemy:99>"
"\n<露天商>いらっしゃい♪
何かお花をお探しかしら。","\n<露天商>いらっしゃい♪
何かお花をお探しかしら。"
"\n<アイリン>サキュバステイルって植物を探してるんですけど・・・","\n<アイリン>サキュバステイルって植物を探してるんですけど・・・"
"\n<露天商>あ～、サキュバステイルかぁ。
私も一度見てみたくて探してるんだけど、全然。","\n<露天商>あ～、サキュバステイルかぁ。
私も一度見てみたくて探してるんだけど、全然。"
"\n<アイリン>そうですか・・・
お花屋さんでも見つけられないんですね。","\n<アイリン>そうですか・・・
お花屋さんでも見つけられないんですね。"
"\n<露天商>淫魔がこの世界に現れるようになって生まれた新種らしいの。
おそらく、彼女らの魔力が植物に何らかの影響を与えているのね。","\n<露天商>淫魔がこの世界に現れるようになって生まれた新種らしいの。
おそらく、彼女らの魔力が植物に何らかの影響を与えているのね。"
"\n<露天商>ところであなた達、冒険者？
なんだか新米って感じね。
レコシードは持ってる？","\n<露天商>ところであなた達、冒険者？
なんだか新米って感じね。
レコシードは持ってる？"
"\n<クマリ>ん？レコシードってなんだ？","\n<クマリ>ん？レコシードってなんだ？"
"\n<露天商>レコシードは別名\C[3]『音を蓄える種』\C[0]って言ってね、
発芽する前に溜めた音を放出して
動物に食べられないよう、脅かす特徴があるの。","\n<露天商>レコシードは別名\C[3]『音を蓄える種』\C[0]って言ってね、
発芽する前に溜めた音を放出して
動物に食べられないよう、脅かす特徴があるの。"
"\n<露天商>つまり\C[3]『音を記録して残す』\C[0]ことが出来るの。
声を吹き込んで誰かにメッセージを伝えたり、
歌や音楽を記録して好きな時に聞けるのよ。","\n<露天商>つまり\C[3]『音を記録して残す』\C[0]ことが出来るの。
声を吹き込んで誰かにメッセージを伝えたり、
歌や音楽を記録して好きな時に聞けるのよ。"
"\n<露天商>記録する時は、種を指でグッとつまんで音を聞かせる。
再生する時は、湿ったハンカチで包んで手のひらで暖める。
冒険の必需品よ。","\n<露天商>記録する時は、種を指でグッとつまんで音を聞かせる。
再生する時は、湿ったハンカチで包んで手のひらで暖める。
冒険の必需品よ。"
"\n<アイリン>面白そう！
種の中に言葉を残しておけるんですね！！
すごい！やってみたい！！","\n<アイリン>面白そう！
種の中に言葉を残しておけるんですね！！
すごい！やってみたい！！"
"\n<露天商>はい、これ手のひらで暖めてみて。","\n<露天商>はい、これ手のひらで暖めてみて。"
"\n<レコシード>面白そう！
種の中に言葉を残しておけるんですね！！
すごい！やってみたい！！","\n<レコシード>面白そう！
種の中に言葉を残しておけるんですね！！
すごい！やってみたい！！"
"\n<フリオ>うぉぉぉぉ！！ほんとだ！！
アイリンの声だ！！
種が喋った！！魔法みたいだ！！","\n<フリオ>うぉぉぉぉ！！ほんとだ！！
アイリンの声だ！！
種が喋った！！魔法みたいだ！！"
"\n<ユイネ>わぁ！！種が喋った！！
ほんとだ！！これアイリンの声だよ！！
魔法みたい！！","\n<ユイネ>わぁ！！種が喋った！！
ほんとだ！！これアイリンの声だよ！！
魔法みたい！！"
"\n<アイリン>え・・・
私こんな変な声なんですか・・・？
なんかちょっと、ショック・・・","\n<アイリン>え・・・
私こんな変な声なんですか・・・？
なんかちょっと、ショック・・・"
"\n<露天商>あはは、自分の声って変な風に聞こえるからね。
はいこれ、握ってみて。","\n<露天商>あはは、自分の声って変な風に聞こえるからね。
はいこれ、握ってみて。"
"\n<レコシード>うぉぉぉぉ！！ほんとだ！！
アイリンの声だ！！
種が喋った！！魔法みたいだ！！","\n<レコシード>うぉぉぉぉ！！ほんとだ！！
アイリンの声だ！！
種が喋った！！魔法みたいだ！！"
"\n<クマリ>おぉ！今度はフリオの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！","\n<クマリ>おぉ！今度はフリオの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！"
"\n<レコシード>わぁ！！種が喋った！！
ほんとだ！！これアイリンの声だよ！！
魔法みたい！！","\n<レコシード>わぁ！！種が喋った！！
ほんとだ！！これアイリンの声だよ！！
魔法みたい！！"
"\n<クマリ>おぉ！今度はユイネの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！","\n<クマリ>おぉ！今度はユイネの声だ！！
忠実に再現されている！！
息継ぎまで、完璧だ！！"
"\n<フリオ>え・・・
俺ってこんな変な声なのか・・・？
なんかちょっと、ショック・・・","\n<フリオ>え・・・
俺ってこんな変な声なのか・・・？
なんかちょっと、ショック・・・"
"\n<ユイネ>え・・・
私って、こんな変な声だったの・・・？
なんかちょっと、ショック・・・","\n<ユイネ>え・・・
私って、こんな変な声だったの・・・？
なんかちょっと、ショック・・・"
"\n<露天商>身体の中から聞こえる声と外から聞こえる声じゃ
違って聞こえるものなのよ。
はい、じゃあ次。","\n<露天商>身体の中から聞こえる声と外から聞こえる声じゃ
違って聞こえるものなのよ。
はい、じゃあ次。"
