"自動実行","自動実行",""
"いわ","いわ",""
" <enemy:148>"," <enemy:148>",""
"錆びついた鉄格子だ・・・","錆びついた鉄格子だ・・・","A rusty iron grate..."
"食糧庫ドア","食糧庫ドア","Pantry door"
"鍵が刺さったままになっている・・・","鍵が刺さったままになっている・・・","The key is in the lock…"
"出現防止","出現防止",""
"EV025","EV025",""
"リリーの日記","リリーの日記","Lily's Diary"
"リリーの日記
ライム式ダイエット","リリーの日記
ライム式ダイエット","Lily's Diary
Lime-style diet"
"読んでみる","読んでみる","Read"
"やめておく","やめておく","Don't read"
"EV054","EV054","EV054"
"罠を踏んでしまった・・・！","罠を踏んでしまった・・・！","Stepped on a trap...!"
"なんと身体が小さくなってしまった・・・！","なんと身体が小さくなってしまった・・・！","Your body has become tiny…!"
"--------キャラ指定-----座標設定------------","",""
"----------------------------------------","",""
"\n<リリー>なぁに？
また食べられたいの？ヘンタイ♥
わざと踏んだでしょそれ。","\n<リリー>なぁに？
また食べられたいの？ヘンタイ♥
わざと踏んだでしょそれ。","\n<Lily>What's this?
Do you want to get eaten again? Pervert♥
You stepped on it on purpose."
"\n<リリー>違うの？
本当に？ふーん。
ま、どっちでもいいけど。","\n<リリー>違うの？
本当に？ふーん。
ま、どっちでもいいけど。","\n<Lily>Am I wrong?
Really? Hmmmm.
Well, no matter, either way."
"ミニマムバトル","ミニマムバトル","Shrunken battle"
"\C[10]小説","\C[10]小説","\C[10]Short story"
"説明","説明","Explanation"
"丸飲みサークルD-gateのCamelさんから頂いた
小説を元にしたイベントが見られます。
選択すると食べられてゲームオーバーになるので注意！","丸飲みサークルD-gateのCamelさんから頂いた
小説を元にしたイベントが見られます。
選択すると食べられてゲームオーバーになるので注意！","I received a short story from Camel of the vore group D-Gate.
You can see an event based on the story. If you select it,
you'll be eaten, and the game will be over. Be careful!"
"ポップアップ有効化","ポップアップ有効化",""
"\n<リリー>必死に抵抗しちゃって。
そんなに食べられたくなかった？
くすくす♥","\n<リリー>必死に抵抗しちゃって。
そんなに食べられたくなかった？
くすくす♥","\n<Lily>You fought as hard as you could.
So you really didn't want to be eaten?
Hee hee♥"
"\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また小さくして可愛がってあげる♥くすくす♥","\n<リリー>そろそろ魔法が切れそうね。
じゃ、私のお口が恋しくなったらいつでも言うのよ？
また小さくして可愛がってあげる♥くすくす♥","\n<Lily>That spell will wear off soon. Well, if you ever
miss my mouth, let me know, ok? I'll shrink you
down and play with you again♥ Hee hee♥"
"身体が元の大きさに戻った！","身体が元の大きさに戻った！","Your body returned to its normal size!"
"報告書","報告書",""
"お風呂場のモップ、ダメになってきちゃった！
根元がポキっと折れてただの『棒』になっちゃいそうなの。
アーコちゃん、もしモップあったらお願いね！","お風呂場のモップ、ダメになってきちゃった！
根元がポキっと折れてただの『棒』になっちゃいそうなの。
アーコちゃん、もしモップあったらお願いね！",""
"\n<\n[1]>（淫魔の癖になんて庶民的な買い物・・・）","\n<\n[1]>（淫魔の癖になんて庶民的な買い物・・・）",""
"\n<\n[1]>（モップ・・・武器になるかな？
こんな短い果物ナイフよりはマシだと思うけど・・・）","\n<\n[1]>（モップ・・・武器になるかな？
こんな短い果物ナイフよりはマシだと思うけど・・・）",""
"\n<\n[1]>（モップか・・・武器に出来るか？
無いよりはましそうだけど・・・）","\n<\n[1]>（モップか・・・武器に出来るか？
無いよりはましそうだけど・・・）",""
"EV058","EV058",""
"何か使えそうなものは・・・","何か使えそうなものは・・・",""
"豪華な装飾の付いた鍵だ・・・
どこの鍵だろう。","豪華な装飾の付いた鍵だ・・・
どこの鍵だろう。",""
"\n<\n[3]>ごそごそして何か探してるのかな？
お腹空いたのー？","\n<\n[3]>ごそごそして何か探してるのかな？
お腹空いたのー？",""
"\n<\n[3]>お腹空いたのなら私が何か作ってあげるよー♥
でもでもー、その前にー・・・","\n<\n[3]>お腹空いたのなら私が何か作ってあげるよー♥
でもでもー、その前にー・・・",""
"\n<\n[3]>ぎゅーっ♥
私が先にご飯にするー♥","\n<\n[3]>ぎゅーっ♥
私が先にご飯にするー♥",""
"ーーーーー待機or攻撃アニメSE選択ーーーーー","",""
"MP_SET_speed 5 50","MP_SET_speed 5 50",""
"--------ここから誘惑------------","",""
"\n<\n[3]>わぁ♥
抱き着いたら乳首におちんちん入っちゃった♥
あははー♥","\n<\n[3]>わぁ♥
抱き着いたら乳首におちんちん入っちゃった♥
あははー♥",""
"\n<\n[3]>おっぱいで挟むのもいいけどー、
おっぱいの中に入っちゃうのもいいよねー♥
くすくす♥","\n<\n[3]>おっぱいで挟むのもいいけどー、
おっぱいの中に入っちゃうのもいいよねー♥
くすくす♥",""
"\n<\n[3]>ねーねー♥
腰動いちゃってるよー？
私の乳首でもぐもぐされるのどーお？気持ちいー？","\n<\n[3]>ねーねー♥
腰動いちゃってるよー？
私の乳首でもぐもぐされるのどーお？気持ちいー？",""
"--------ここから選択肢-------------","",""
"\n<\n[3]>抜け出さなきゃなのに
にゅるにゅるおちんちんに絡みついてきて
逃げられないねー♥","\n<\n[3]>抜け出さなきゃなのに
にゅるにゅるおちんちんに絡みついてきて
逃げられないねー♥",""
"MP_SET_speed 5 75","MP_SET_speed 5 75",""
"MP_SET_speed 5 100","MP_SET_speed 5 100",""
"\n<\n[3]>もう離れられると思ったー？
ダメダメー♥
ほーらぴゅっぴゅしちゃいなよー♥","\n<\n[3]>もう離れられると思ったー？
ダメダメー♥
ほーらぴゅっぴゅしちゃいなよー♥",""
"\n<\n[3]>おいでおいでー♥","\n<\n[3]>おいでおいでー♥",""
"--------ここからクリア------------","",""
"\n<\n[3]>むー・・・
カチカチにしてるのにまだ頑張るのー？そっかー。
悲しいなぁー・・・","\n<\n[3]>むー・・・
カチカチにしてるのにまだ頑張るのー？そっかー。
悲しいなぁー・・・",""
"\n<\n[3]>でも、またしてほしくなったら言ってね？
いつでももぐもぐ食べてあげるから。
じゃ、また後でねー♥","\n<\n[3]>でも、またしてほしくなったら言ってね？
いつでももぐもぐ食べてあげるから。
じゃ、また後でねー♥",""
"アイテム","アイテム",""
"バルコニーの鍵を見つけた！
これで外に出られる・・・！","バルコニーの鍵を見つけた！
これで外に出られる・・・！","You found the Balcony Key!
Now you can get outside...!"
"もう使えそうなものはない。","もう使えそうなものはない。","Nothing else useful."
"食材が並んでいる・・・","食材が並んでいる・・・",""
"\n<\n[1]>（淫魔も普通のご飯食べるのかな。
じゃあそれだけ食べてればいいのに・・・）","\n<\n[1]>（淫魔も普通のご飯食べるのかな。
じゃあそれだけ食べてればいいのに・・・）",""
"\n<\n[1]>（食べるものには困らないな・・・）","\n<\n[1]>（食べるものには困らないな・・・）",""
"時計が時を刻んでいる・・・","時計が時を刻んでいる・・・",""
