"自動実行","自動実行"
"木材","Wood"
" <enemy:149>"," <enemy:149>"
"木材が通路を塞いでいる・・・","木材が通路を塞いでいる・・・"
"食糧庫ドア","食糧庫ドア"
"シャンデリア","シャンデリア"
"引っかけ場所","引っかけ場所"
"<TE:立体起動>","<TE:立体起動>"
"メイドの部屋の鍵を開けた！","メイドの部屋の鍵を開けた！"
"メイドの部屋のようだ。
鍵がかかっている・・・","This seems to be the Housemaid's room.
It's locked tightly..."
"扉が開かない・・・
魔法的な力で閉じられているようだ。","The door won't open...
It seems to be closed shut by a magical power."
"リリーを倒そう。
最後の戦いになる。
準備は出来ているだろうか・・・","リリーを倒そう。
最後の戦いになる。
準備は出来ているだろうか・・・"
"はい","Yes"
"いいえ","No"
"\n<？？？>待って！","\n<？？？>待って！"
"\n<アーコ>あたしは中立だよ。
だから、どっちの味方でもないし、敵でもない。
でもね。","\n<アーコ>あたしは中立だよ。
だから、どっちの味方でもないし、敵でもない。
でもね。"
"\n<アーコ>戦わないでほしい。
って思ってる。","\n<アーコ>戦わないでほしい。
って思ってる。"
"\n<アーコ>勝手なことだって分かってる。
リリーたちは人を襲う淫魔だし、悪いやつだよ。
退治されてもしょうがない。","\n<アーコ>勝手なことだって分かってる。
リリーたちは人を襲う淫魔だし、悪いやつだよ。
退治されてもしょうがない。"
"\n<アーコ>でもね・・・
あいつらが悪なら、あたしはどっち付かずの最悪なの。","\n<アーコ>でもね・・・
あいつらが悪なら、あたしはどっち付かずの最悪なの。"
"\n<アーコ>だから、あんたを襲う。今から。
あたしに勝てないようならリリーには絶対勝てない。
あたしが勝ったら、諦めて帰って。","\n<アーコ>だから、あんたを襲う。今から。
あたしに勝てないようならリリーには絶対勝てない。
あたしが勝ったら、諦めて帰って。"
"\n<アーコ>というのは建前で、
本当はムラムラしたから襲うんだけどね。
お腹も空いたし。","\n<アーコ>というのは建前で、
本当はムラムラしたから襲うんだけどね。
お腹も空いたし。"
"\n<アーコ>あ、それとね！
鍵、見つけちゃった。鉄格子の。
あたしに勝ったらあげちゃう！おっけー？","\n<アーコ>あ、それとね！
鍵、見つけちゃった。鉄格子の。
あたしに勝ったらあげちゃう！おっけー？"
"\n<アーコ>じゃあ、えっちしよう！
絶対負けないから！","\n<アーコ>じゃあ、えっちしよう！
絶対負けないから！"
"\n<アーコ>あ・・・こ、腰が・・・♥
力が入らない・・・♥
くぅ・・・♥","\n<アーコ>あ・・・こ、腰が・・・♥
力が入らない・・・♥
くぅ・・・♥"
"\n<アーコ>ごめん。
もう邪魔しない。
頑張って。気持ちよかった・・・","\n<アーコ>ごめん。
もう邪魔しない。
頑張って。気持ちよかった・・・"
"\n<アーコ>ごちそーさま♥
あー美味しかった。
じゃ、帰ろう。","\n<アーコ>ごちそーさま♥
あー美味しかった。
じゃ、帰ろう。"
"\n<アーコ>大丈夫・・・？立てる？
ちょっとやり過ぎちゃった♥
ごめん。","\n<アーコ>大丈夫・・・？立てる？
ちょっとやり過ぎちゃった♥
ごめん。"
"書庫の鍵を開けた！","書庫の鍵を開けた！"
"書庫のようだ。
鍵がかかっている・・・","This seems to be the Library.
It's locked tightly..."
"豪華な鍵を使って
館主の部屋を開けた！","豪華な鍵を使って
館主の部屋を開けた！"
"館主の部屋のようだ。
鍵がかかっている・・・","This seems to be office of the household owner.
It's locked tightly..."
"バルコニーの鍵を開けた！","バルコニーの鍵を開けた！"
"この向こうはバルコニーのようだ。
鍵がかかっている・・・
外に出られればなんとかなるかもしれない。","この向こうはバルコニーのようだ。
鍵がかかっている・・・
外に出られればなんとかなるかもしれない。"
"執事の部屋の鍵を開けた！","執事の部屋の鍵を開けた！"
"執事の部屋のようだ。
鍵がかかって開かない・・・","執事の部屋のようだ。
鍵がかかって開かない・・・"
"EV095","EV095"
"EV096","EV096"
"EV097","EV097"
"EV098","EV098"
"EV099","EV099"
"イベント用アーコ","イベント用アーコ"
"リリーの日記","リリーの日記"
"リリーの日記
知識VS直感","リリーの日記
知識VS直感"
"読んでみる","読んでみる"
"やめておく","やめておく"
"報告書","報告書"
"バルコニーの鍵を食糧庫内の倉庫で拾いました。
近くの棚に置いておきます。
誰が落としたのか知りませんが、鍵の管理には気を付けてください。","バルコニーの鍵を食糧庫内の倉庫で拾いました。
近くの棚に置いておきます。
誰が落としたのか知りませんが、鍵の管理には気を付けてください。"
"EV103","EV103"
"シャンデリアはフックショットがあれば渡れそうだ・・・","シャンデリアはフックショットがあれば渡れそうだ・・・"
