"自動実行","自動実行"
"リリー","Lily"
"イベント","イベント"
"\n<リリー>あ""ー生き返る""ー・・・
お""ぉ""ぉー・・・♥","\n<Lily>Ahh~ I already feel my body healing...
Ahh~ Ooh... Ahh...♥"
"\n<シィナ>おっさんみたいな声出すなや。","\n<Shina>You sound like a middle-aged man-nya."
"\n<ライム>ねーねー。
脱出ゲームが始まってから何日か過ぎたけど
\n[1]って今どんな感じかなー？","\n<Lime>Hey hey-
I wonder how \n[1] is doing since we started
our escape game?"
"\n<ライム>ねーねー。
今\n[1]ってどんな感じかなー？
脱出ゲーム。","\n<Lime>Hey hey-
"
"\n<リリー>うーん・・・そうね・・・","\n<Lily>Mmm... I wonder..."
"\n<リリー>もう殆ど正気が残ってないって感じね。
完璧に精奴隷に堕ちるまであと一歩ってところかしら。","our escape game?"
"\n<リリー>大分正気を失ってきたみたいだけど・・・
まだ脱出する意志は多少あるみたいね。
もう少し楽しめそう。","\n<リリー>大分正気を失ってきたみたいだけど・・・
まだ脱出する意志は多少あるみたいね。
もう少し楽しめそう。"
"\n<リリー>思ったよりは楽しませてくれるみたい。
腐ってもハンターね。
そうこなくっちゃ、堕とし甲斐がないわ。","\n<リリー>思ったよりは楽しませてくれるみたい。
腐ってもハンターね。
そうこなくっちゃ、堕とし甲斐がないわ。"
"\n<リリー>あいつ、私にメロメロみたいよ♥
ちょっと誘惑するだけで顔真っ赤にしちゃう。
人間なんてチョロいわ。","\n<リリー>あいつ、私にメロメロみたいよ♥
ちょっと誘惑するだけで顔真っ赤にしちゃう。
人間なんてチョロいわ。"
"\n<ライム>流石リリー♥
私から見てもえっちだもん。
おちんちん生えてる人間には堪らないだろうねー♥","\n<ライム>流石リリー♥
私から見てもえっちだもん。
おちんちん生えてる人間には堪らないだろうねー♥"
"\n<リリー>そうよ。
もっと褒めなさい。","\n<リリー>そうよ。
もっと褒めなさい。"
"\n<シィナ>アタシも散々搾ってやったし。
もうアタシに首ったけって感じにゃ。
ウィンクするだけでイったし。","\n<シィナ>アタシも散々搾ってやったし。
もうアタシに首ったけって感じにゃ。
ウィンクするだけでイったし。"
"\n<ライム>それは盛り過ぎでしょ。","\n<ライム>それは盛り過ぎでしょ。"
"\n<リリー>私はガッツポーズしただけでイカせたわ。","\n<リリー>私はガッツポーズしただけでイカせたわ。"
"\n<シィナ>どういう性癖にゃん・・・","\n<シィナ>どういう性癖にゃん・・・"
"\n<ライム>私、\n[1]のこと気に入っちゃったかもー♥
だってね、すぐいっぱい出してくれるんだよー♥
えへへー♥","\n<ライム>私、\n[1]のこと気に入っちゃったかもー♥
だってね、すぐいっぱい出してくれるんだよー♥
えへへー♥"
"\n<リリー>溶かして食べたりしないでしょうね。","\n<リリー>溶かして食べたりしないでしょうね。"
"\n<ライム>そんなことしないよー。
まだねー。","\n<ライム>そんなことしないよー。
まだねー。"
"\n<シィナ>まだ？","\n<シィナ>まだ？"
"\n<ライム>今どこにいるのかなー？
みんなお風呂入っててだいじょーぶ？","\n<ライム>今どこにいるのかなー？
みんなお風呂入っててだいじょーぶ？"
"\n<リリー>平気でしょ。
玄関の鍵、隠してるし。
ここから出られるはずないわ。","\n<リリー>平気でしょ。
玄関の鍵、隠してるし。
ここから出られるはずないわ。"
"\n<シィナ>脱出不可能にゃ。
アーコのバカもついでに出られんくなってるし。","\n<シィナ>脱出不可能にゃ。
アーコのバカもついでに出られんくなってるし。"
"\n<ライム>あ、そういえば食材頼んでたんだった。
あとで買いにいこー♥","\n<ライム>あ、そういえば食材頼んでたんだった。
あとで買いにいこー♥"
"\n<リリー>そういえば石鹸ってまだ残ってたかしら。
無かったらアーコに頼まなきゃ。","\n<リリー>そういえば石鹸ってまだ残ってたかしら。
無かったらアーコに頼まなきゃ。"
"\n<リリー>何やってんのあんた・・・
のぞき？
いい度胸じゃない。","\n<リリー>何やってんのあんた・・・
のぞき？
いい度胸じゃない。"
"ライム","Lime"
"シィナ","Shina"
"掃除道具入れ","掃除道具入れ"
