"囚われのアルストロメリア","Captured Alstomeria"
"両用","Dual-use"
"男性用","Men Only"
"女性用","Girls Only"
"アイリン専用","Irin Only"
"キャンティ専用","Chianti Only"
"カスタムパーツ","Custom Parts"
"愛撫","Caress"
"胸","Breasts"
"アソコ","Pussy"
"尻","Ass"
"キス","Kiss"
"その他","Other"
"魔法","Magic"
"～敵基本属性～","～敵基本属性～"
"人","Person"
"悪/エナドレ","Evil/Energy Slave"
"獣/尻尾コキ","Beast/Tailjob"
"水/ローション","Water/Lotion"
"風/風コキ","Wind/Windjob"
"虫/糸","Insect/Thread"
"草/触手","Grass/Tentacles"
"機械/オナホ","Machine/Onnahole"
"～主人公用～","～主人公用～"
"手コキ","Handjob"
"足コキ","Footjob"
"パイズリ","Paizuri"
"フェラ","Fellatio"
"セックス","Sex"
"尻コキ/アナルSEX","Assjob/Anal"
"キス/誘惑","Kiss/Seduction"
"脇/前立腺/その他","Armput/Prostate/Others"
"～雑魚敵属性～","～雑魚敵属性～"
"斬撃","Slashing"
"打撃","Blow"
"炎","Flame"
"水","Water"
"雷","Thunder"
"誘惑","Temptation"
"食べ物","Food"
"武器","Weapon"
"性具","Sextoy"
"ゴム","Condom"
"指輪","Ring"
"装飾品","Accessory"
"スキル","Skills"
"敵の技","Enemy skills"
"行動","Action"
"投擲","Throwing"
"薬","Medicine"
"日用品","Daily necessities"
"1番スイッチ（キープ）",""
"女主人公",""
"主人公立ち絵",""
"主人公ボイス",""
"主人公セリフなし",""
"ラブラブセリフ",""
"立ち絵裸強制",""
"戦闘中のみ裸",""
"軽量化スイッチ",""
"インフォスイッチ",""
"イベント時エモート",""
"射精エフェクト",""
"チラつき防止を切る",""
"体力0スイッチ",""
"テストプレイ",""
"回想部屋",""
"体力0監視",""
"～その他オプション～",""
"敵のボイス無し","敵のボイス無し"
"女主人公負けアニメ","女主人公負けアニメ"
"負けアニメ後","負けアニメ後"
"敏捷性判定省略","敏捷性判定省略"
"待機モーション無し","待機モーション無し"
"ドレイン中止キャンセルキー","ドレイン中止キャンセルキー"
"アクションイージー","アクションイージー"
"淫魔戦イージー","淫魔戦イージー"
"淫魔戦ハード","淫魔戦ハード"
"救出イベント時ワイプ無し","救出イベント時ワイプ無し"
"戦闘中立ち絵アニメ","戦闘中立ち絵アニメ"
"エンドレスモード","Endless Mode"
"エンドレス中","エンドレス中"
"操作説明非表示","操作説明非表示"
"探索ヒントモード","探索ヒントモード"
"コマンド→選択肢","コマンド→選択肢"
"捕食スキップ","捕食スキップ"
"OPスキップ","OPスキップ"
"体験版","体験版"
"～システム系～",""
"鬼ごっこポジ1",""
"鬼ごっこポジ2",""
"鬼ごっこポジ3",""
"鬼ごっこポジ4",""
"鬼ごっこポジ5",""
"死んでない(撤退）",""
"救出臨時スイッチ",""
"帰還禁止！",""
"人物1を表示",""
"人物2を表示",""
"人物3を表示",""
"誰かが誘惑中",""
"救出タイマーゼロ",""
"救出イベント中",""
"まじでゲームオーバー",""
"発情イベ中",""
"回想部屋全開放",""
"絶対にONにしないスイッチ",""
"～仲間同行～",""
"エイミー同行中",""
"シャル同行中",""
"アリスリドル同行中",""
"ノノ同行中",""
"～システム系2～",""
"発情イベ射精する",""
"発情立ち絵ON",""
"通常立ち絵",""
"オナニー中",""
"誘いイベスリップダメ",""
"正解を選んだ",""
"ゲームオーバー帰宅",""
"～戦闘システム～",""
"敵イキそう",""
"敵イキそうじゃない",""
"敵イった",""
"精液モーション",""
"背景ストップ",""
"戦闘中",""
"敵スタン",""
"EXモーション",""
"締りがいい（反動）",""
"諦めた・・・",""
"諦め分岐",""
"成功！",""
"失敗・・・",""
"必殺技準備",""
"敵攻撃中",""
"追い込んだ",""
"表情指定なし（ランダム）",""
"敵攻撃パターン1",""
"敵攻撃パターン2",""
"必殺技OK！",""
"おねだりちゅう",""
"一時待機ﾓｰｼｮﾝカット",""
"敵攻撃特殊フラグ",""
"敗北分岐用特殊フラグ",""
"スリップダメージON",""
"スリップダメージあり",""
"戦闘開始時スイッチ",""
"勝利！",""
"～メルブレ用～",""
"戦闘中射精したなう",""
"チェイス中",""
"リリーに見つかった",""
"シィナに見つかった",""
"ライムに見つかった",""
"自然湧き",""
"リリー出現中",""
"シィナ出現中",""
"ライム出現中",""
"大広間なう",""
"敵出現なし",""
"～戦闘中スイッチ～",""
"戦闘イベント1",""
"戦闘イベント2",""
"戦闘イベント3",""
"戦闘イベント4",""
"戦闘イベント5",""
"～敗北シーン処理～",""
"敗北スキップ選択ON",""
"敗北スキップ（一時）",""
"敗北シーン中",""
"強制超射精",""
"敗北中BGM変更なし",""
"喘ぎ無し超射精",""
"速度を維持する",""
"強制弱気表情",""
"初手弱気顔",""
"射精した(軽量化用）",""
"射精中",""
"敵特殊ボイス",""
"射精前ボイス",""
"射精禁止（アニメ無し）",""
"敗北BGMダーク",""
"速度維持バグ回避",""
"射精禁止（アニメ有り）",""
"射精後回復無し",""
"立ちアニメ一時オフ",""
"特殊攻撃アニメ",""
"2分の1音声",""
"～敗北シーン演出～",""
"射精禁止",""
"一時喘ぎセリフなし",""
"強制ラブラブ喘ぎ(一時)",""
"攻撃の強さ選択",""
"強制窒息喘ぎ（一時）",""
"設定ラブラブ判定",""
"～敵倒したスイッチ～",""
"精奴隷ロメリア倒した",""
"シィナ1回目倒した",""
"シィナ2回目倒した",""
"リリー1回目倒した",""
"リリー2回目倒した",""
"ライム1回目倒した",""
"ライム2回目倒した",""
"アーコ倒した",""
"淫紋ロメリア倒した",""
"デカリリー倒した",""
"強化とら倒した",""
"オーク倒した",""
"ウィッチラミア倒した",""
"マンティス倒した",""
"とら倒した",""
"ミニマムクリアした",""
"チョコレ倒した",""
"ノノ？倒した",""
"エイミー？倒した",""
"アリス？倒した",""
"サキュバス倒した",""
"リリス一回目倒した",""
"りりす2回目倒した",""
"EXクラスタ倒した",""
"ヒュプノ倒した",""
"ウィッチ倒した",""
"リリス？倒した",""
"おてあわシャル倒した",""
"エルフ倒した",""
"ノノキス倒した",""
"アニマ倒した",""
"タコちゃん倒した",""
"ウィッチリベンジ倒した",""
"ヒュプノ2回目倒した",""
"ラミア倒した",""
"エラッタ倒した",""
"最後リリス倒した",""
"髪解きリリス倒した",""
"シルキー倒した",""
"エイミーEX倒した",""
"アリスEX倒した",""
"ベルーチェ誘惑攻撃",""
"チョコレ誘惑攻撃",""
"無限復活体力0",""
"イベント中非表示",""
"イベント中キャラ",""
"会話したスキップ",""
"初ゲームオーバー",""
"～ストーリーイベント～",""
"物語始まり",""
"兄妹に話しかけた",""
"戻って来た！",""
"隠れろ！",""
"居なくなった！",""
"脱出ゲームスタート",""
"隠れ失敗",""
"ライムに射精させられた",""
