"Melty Brave (disambiguation)",""
"Caress.",""
"Chest.",""
"Asoko (disambiguation)",""
"Ass",""
"Kiss",""
"Japanese",""
"Please select a language. Choose Your Language. ",""
"English",""
"Simplified",""
"Hangul",""
"Basic properties.",""
"People.",""
"Evil/Enadore",""
"The hero.",""
"Please choose the main character.",""
"Heroine.",""
"Water/Lotion",""
"Wind/Wind",""
"Insects/Threads",""
"Grass/Tentacle",""
"Machinery/Onaho",""
"The <a0>T:System",""
"Do you want to see the hero's standing picture? (You can change the production at any time as an option.)",""
"Don't show",""
"The master is public.",""
"Hand-to-hand",""
"Astico",""
"Do you want to see the main character's anime during the battle?",""
"Blowjob",""
"Sex",""
"Ass Koki / SEX",""
"Kissing/Temptation",""
"Side/Prostate/Others",""
"- Miscellaneous fish enemy attribute -",""
"Slashing",""
"Blow",""
"Inflammatory.",""
"In the old days, there were four great powers in this world.",""
"The country of fire, the country of water, the country of wind, the country of thunder. There's a formal name, but... that's okay.",""
"The people of fire were bright and passionate, and they valued their friends more than anything else. The people of the water made fairness a virtue and had the rightness to keep discipline.",""
"The people of the wind were merciful and calm, loved nature, and live with nature. The people of Thunder were wise and adeled at whispering, and used their intelligence to make machines.",""
"It doesn't matter what triggered it or who started it.",""
"Weapons.",""
"People are not able to accept 'different things'. As a matter of course, the conflict was meant to happen.",""
"He outsed others for his own good, justice was pressed, compassion was a tragedy, and machines became tools of killing.",""
"It has been for generations, and people have continued to reduce that number. Everyone prays for peace ""each"" from the bottom of their hearts.",""
"Ring",""
"Ornaments",""
"Others",""
"When <ムー> and the days flowed and people forgot why people killed each other.",""
"I'<ムー> to the world all of a sudden.",""
"The enemy's skill",""
"Throwing.",""
"I'<ムー> a good-bye. I told you to tell me something because I'm free. Don't go to bed while walking. Dexter.",""
"Wouldn'<ムー> better to have a more fun story? Well... sure. Even if you talk dark in the dark forest, you'll just get depressed.",""
"Food",""
"That'<ムー> right, isn't it? Well... let's talk about the worst thing I've ever eaten.",""
